"ROOT_ID","OPTION","AFFECTED_SCREEN","AFFECTED_COMPONENT","AFFECTED_FLUTTER_FILES","AFFECTED_FIGMA_AREA","DEPENDENT_DECISIONS","AUTO_RESOLVABLE_COUNT","REQUIRES_VISUAL_REVIEW","REQUIRES_PHYSICAL_ARTIFACT_REVIEW","NOTES"
"UI-R07","A","Home;Listing;Wishlist;Recent;Shop products","ProductCard;CategoryCard;CategoryRow;grid","lib/core/common/widgets/vertical_product_card.dart;lib/core/common/widgets/horizontal_product_card.dart;lib/features/shop/presentation/widgets/home_categories.dart;lib/features/shop/presentation/views/all_products_view.dart","ProductCard;Category components;critical screens","UI-R01;UI-R03;UI-R08;UI-R10;UI-R15","3","YES","YES","Balanced two-line cards retain merchant count and availability"
"UI-R07","B","Home;Listing;Wishlist;Recent;Shop products","Compact ProductCard;CategoryRow;grid","lib/core/common/widgets/vertical_product_card.dart;lib/core/common/widgets/horizontal_product_card.dart;lib/features/shop/presentation/widgets/home_categories.dart;lib/features/shop/presentation/views/all_products_view.dart","Compact card variants;critical screens","UI-R01;UI-R03;UI-R08;UI-R10;UI-R15","3","YES","YES","Price-first density displays more rows but hides local context"
"UI-R07","C","Home;Listing;Wishlist;Recent;Shop products","Editorial ProductCard;CategoryCard","lib/core/common/widgets/vertical_product_card.dart;lib/core/common/widgets/horizontal_product_card.dart;lib/features/shop/presentation/widgets/home_categories.dart;lib/features/shop/presentation/views/all_products_view.dart","Editorial card variants;critical screens","UI-R01;UI-R03;UI-R08;UI-R10;UI-R15","3","YES","YES","More whitespace and imagery reduce items visible per viewport"
"UI-R08","A","All media-bearing Customer screens","MediaFrame;image fallback;icon actions","lib/core/common/widgets/rounded_image.dart;lib/features/shop/presentation/widgets/product_image_fallback.dart;lib/core/common/widgets/customer_bottom_navigation.dart","Media fallback components;icon instances","UI-R01;UI-R03;UI-R07;UI-R15","2","YES","YES","Warm-neutral fallback and one Iconsax-led system"
"UI-R08","B","All media-bearing Customer screens","Illustrated fallback;mixed icon components","lib/core/common/widgets/rounded_image.dart;lib/features/shop/presentation/widgets/product_image_fallback.dart;lib/core/common/widgets/customer_bottom_navigation.dart","New illustration areas;mixed icons","UI-R01;UI-R03;UI-R07;UI-R15","2","YES","YES","Adds illustration production and consistency burden"
"UI-R08","C","All media-bearing Customer screens","Text fallback;minimal icons","lib/core/common/widgets/rounded_image.dart;lib/features/shop/presentation/widgets/product_image_fallback.dart","Text-only fallback areas","UI-R01;UI-R03;UI-R07;UI-R15","2","YES","YES","Lower visual polish and weaker scanning when media is absent"
"UI-R09","A","Navigation;loading;cards;dialogs","Motion tokens;progress;skeleton","lib/core/common/widgets/navigation_menu.dart;lib/core/common/widgets/progress_indicator.dart;lib/core/common/widgets/product_shimmer.dart","Prototype transitions;loading states","UI-R02;UI-R15","1","YES","YES","Restrained functional motion with reduced-motion support"
"UI-R09","B","Navigation;Home/cards;details","Hero/card motion;motion tokens","lib/core/common/widgets/navigation_menu.dart;lib/core/common/widgets/product_shimmer.dart;critical screen views","Expanded prototype motion areas","UI-R02;UI-R15","1","YES","YES","Expressive motion increases implementation and physical QA"
"UI-R09","C","All Customer screens","Minimal transition/progress feedback","lib/core/common/widgets/navigation_menu.dart;lib/core/common/widgets/progress_indicator.dart","Static or near-static states","UI-R02;UI-R15","1","YES","YES","Simplest motion scope; ensure state feedback remains clear"
"UI-R10","A","Home;Auth;Cart;Review;Support;states","Copy slots;StateShell;buttons","lib/core/utils/constants/text_strings.dart;lib/features/shop/presentation/views/home_view.dart;lib/features/auth/presentation/views/login/login_view.dart;lib/features/shop/presentation/views/cart_v2_view.dart","All customer copy in critical frames","UI-R03;UI-R05;UI-R06;UI-R11;UI-R15","1","YES","NO","Warm concise local-commerce Turkish"
"UI-R10","B","Home;Auth;Cart;Review;Support;states","Copy slots;StateShell;buttons","lib/core/utils/constants/text_strings.dart;critical Customer views","All customer copy in critical frames","UI-R03;UI-R05;UI-R06;UI-R11;UI-R15","1","YES","NO","Formal corporate tone reduces warmth but remains controlled"
"UI-R10","C","Home;Auth;Cart;Review;Support;states","Promotional copy slots;buttons","lib/core/utils/constants/text_strings.dart;critical Customer views","Promotional customer copy areas","UI-R03;UI-R05;UI-R06;UI-R11;UI-R15","1","YES","NO","Generic marketplace tone weakens EsnaftaVar identity"
"UI-R11","A","Reviews;Purchases;Product/Shop trust","VerifiedBadge;StatusChip;ReviewCard","lib/features/shop/presentation/widgets/user_review_card.dart;lib/features/shop/presentation/views/product_reviews_view.dart;lib/features/purchases/presentation/views/purchases_view.dart;lib/core/common/widgets/sale_tag.dart","Verified badge;future signal slots","UI-R01;UI-R10;UI-R15","2","YES","YES","Compact authoritative verified marker; dormant future signals hidden"
"UI-R11","B","Reviews;Purchases;Product/Shop trust","Large trust decoration;future placeholders","lib/features/shop/presentation/widgets/user_review_card.dart;lib/features/shop/presentation/views/product_reviews_view.dart;lib/features/purchases/presentation/views/purchases_view.dart;lib/core/common/widgets/sale_tag.dart","Expanded trust/future signal areas","UI-R01;UI-R10;UI-R15","2","YES","YES","More visual emphasis and risk of implying unavailable systems"
"UI-R11","C","Reviews;Purchases;Product/Shop trust","Trust indicators removed","lib/features/shop/presentation/widgets/user_review_card.dart;lib/features/shop/presentation/views/product_reviews_view.dart;lib/features/purchases/presentation/views/purchases_view.dart","Trust marker removal","UI-R01;UI-R10;UI-R15","2","YES","YES","Hides verified-purchase value from customers"
"UI-R12","A","Critical and secondary Customer screens","Rollout waves;defect/deferment ledger","lib/features/*/presentation/views/*.dart;lib/core/common/widgets/*.dart","Critical screens accepted;secondary polish bounded","UI-R03;UI-R15","2","YES","NO","Defer V3 and low-traffic decoration while keeping all routes coherent"
"UI-R12","B","All Customer screens","Full component and screen polish","lib/features/*/presentation/views/*.dart;lib/core/common/widgets/*.dart","Full Customer screen set","UI-R03;UI-R15","2","YES","YES","Equal pre-pilot polish expands schedule and acceptance scope"
"UI-R12","C","Critical Customer screens only","Critical component subset","lib/features/shop/presentation/views/home_view.dart;lib/features/shop/presentation/views/all_products_view.dart;lib/features/shop/presentation/views/product_details_view.dart;lib/features/shop/presentation/views/shop_profile_view.dart;lib/features/shop/presentation/views/cart_v2_view.dart","Critical frames only","UI-R03;UI-R15","2","YES","YES","Leaves secondary customer routes visibly inconsistent"
"UI-R13","A","All responsive Customer screens","ScreenShell;grids;max-width","lib/features/*/presentation/views/*.dart;lib/core/common/widgets/app_bar.dart","Phone frames plus max-width acceptance","UI-R02;UI-R15","1","YES","YES","Safe centered/max-width behavior without bespoke tablet layouts"
"UI-R13","B","All responsive Customer screens","Tablet ScreenShell;tablet grids","lib/features/*/presentation/views/*.dart;lib/core/common/widgets/app_bar.dart","New tablet frames and components","UI-R02;UI-R15","1","YES","YES","Adds a complete tablet visual and test dimension"
"UI-R13","C","All responsive Customer screens","Phone layout stretched","lib/features/*/presentation/views/*.dart","No controlled tablet area","UI-R02;UI-R15","1","YES","YES","Uncontrolled stretch lowers large-screen quality"
"UI-R14","A","Customer system;future Merchant alignment","Shared tokens/primitives;role components","lib/core/utils/theme/theme.dart;lib/core/common/widgets;customer and future merchant presentation layers","K'pasa mapping;Customer components;future Merchant foundations","UI-R01;UI-R03;UI-R15","2","YES","NO","Share semantic foundations; keep role-specific screens/components"
"UI-R14","B","Customer system;future Merchant alignment","Near-identical shared screens/components","lib/core/common/widgets;customer and future merchant presentation layers","Unified Customer/Merchant screen direction","UI-R01;UI-R03;UI-R15","2","YES","YES","Reduces role distinction and may force operational UI into Customer patterns"
"UI-R14","C","Customer system;future Merchant alignment","Independent tokens/components","customer and future merchant presentation layers","Separate Customer and Merchant systems","UI-R01;UI-R03;UI-R15","2","YES","NO","Increases brand drift and duplicated maintenance"
"UI-R15","A","All accepted Customer screens","Golden manifest;all canonical components","all Flutter files selected by the rollout impact matrix;test/widget and golden evidence","Immutable approved critical frames and component/token versions","UI-R01;UI-R02;UI-R03;UI-R04;UI-R05;UI-R06;UI-R07","1","YES","YES","Require immutable Figma and exact artifact with responsive/state/a11y evidence"
"UI-R15","B","All accepted Customer screens","Figma component/frame approval","all Flutter files selected by the rollout impact matrix","Figma frames only","UI-R01;UI-R02;UI-R03;UI-R04;UI-R05;UI-R06;UI-R07","1","YES","NO","Runtime differences can escape a Figma-only approval"
"UI-R15","C","All accepted Customer screens","Manual visual walkthrough","all Flutter files selected by the rollout impact matrix","No immutable reference requirement","UI-R01;UI-R02;UI-R03;UI-R04;UI-R05;UI-R06;UI-R07","1","NO","YES","Subjective device review is not repeatable and weakens freeze governance"
