EDGE_ID,TEST_GROUP,PRODUCT_SCENARIO,RECOMMENDED_PRIMARY_L1,RECOMMENDED_PRIMARY_L2,ALTERNATIVE_POSSIBLE_OWNER,PLACEMENT_CONFIDENCE,RECOMMENDED_RULE,FACETS_INVOLVED,POLICY_FLAG,RESULT,OWNER_DECISION_REQUIRED,PRIORITY
EDGE-0033,APPAREL_SPORTS_PPE,yüksek destek spor sütyeni,Giyim & Moda,Spor & Performans Giyimi,İç Giyim,MEDIUM,Performans amaçlı ürün spor giyimi; destek seviyesi facet.,destek; beden,NONE,AMBIGUOUS,YES,P1
EDGE-0034,APPAREL_SPORTS_PPE,tek kullanımlık kimyasal koruma tulumu,"Yapı, Hırdavat & Tesisat",İş Güvenliği & Koruyucu Donanım,Giyim & Moda; Sağlık & Medikal,MEDIUM,Koruma standardı PPE sahipliğini belirler.,koruma standardı; beden,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0035,APPAREL_SPORTS_PPE,günlük yağmurluk,Giyim & Moda,Dış Giyim,"Spor & Outdoor; Yapı, Hırdavat & Tesisat",HIGH,PPE/teknik sertifika yoksa günlük dış giyimdir.,su geçirmezlik; beden,NONE,CLEAR,NO,P2
EDGE-0036,APPAREL_SPORTS_PPE,motosiklet korumalı mont,Otomotiv & Motosiklet,Motosiklet Kask & Koruma Ekipmanları,Giyim & Moda,MEDIUM,Araç-spesifik koruma/sertifika fitment ve intended use ile baskındır.,koruma standardı; beden,REGULATED_REVIEW,AMBIGUOUS,YES,P0
EDGE-0037,BAGS_EQUIPMENT,bebek bakım çantası,Anne & Bebek,Bebek Arabaları & Taşıma,Çanta & Aksesuar,MEDIUM,"Owner kararı: bebek-özel organizer Anne & Bebek mi, çanta formu Çanta mı?",bebek uyumu; hacim,NONE,AMBIGUOUS,YES,P0
EDGE-0038,BAGS_EQUIPMENT,korumalı laptop sırt çantası,Çanta & Aksesuar,"Evrak, Laptop & Ekipman Çantaları",Bilgisayar & Tablet,MEDIUM,Taşıma kabı Çanta; cihaz uyumluluğu facet.,ekran ölçüsü uyumu; hacim,NONE,AMBIGUOUS,YES,P1
EDGE-0039,BAGS_EQUIPMENT,sert gitar taşıma kutusu,Müzik & Enstrüman,"Enstrüman Aksesuar, Bakım & Sarf Malzemeleri",Çanta & Aksesuar,MEDIUM,Enstrüman-spesifik koruma ekipmanı domain aksesuarıdır.,enstrüman uyumu; malzeme,NONE,AMBIGUOUS,YES,P0
EDGE-0040,BAGS_EQUIPMENT,genel spor salonu çantası,Çanta & Aksesuar,Valiz & Seyahat Çantaları,Spor & Outdoor,MEDIUM,Generic taşıma ürünü Çanta; spor kullanımı facet.,hacim; bölme,NONE,AMBIGUOUS,YES,P1
EDGE-0041,BAGS_EQUIPMENT,teknik dağcılık sırt çantası,Spor & Outdoor,"Outdoor, Kamp & Trekking",Çanta & Aksesuar,MEDIUM,Teknik taşıma sistemi ve outdoor safety feature'ları domain ownership doğurabilir.,hacim; taşıma sistemi,NONE,AMBIGUOUS,YES,P0
EDGE-0042,BAGS_EQUIPMENT,korumalı DSLR kamera çantası,Elektronik,Fotoğraf & Kamera,Çanta & Aksesuar,MEDIUM,Cihaz-spesifik ekipman kabı kamera domaininde; generic çanta değildir.,kamera uyumu; hacim,NONE,AMBIGUOUS,YES,P0
EDGE-0043,BAGS_EQUIPMENT,pasaport ve kablo seyahat organizeri,Çanta & Aksesuar,Seyahat Aksesuarları,Elektronik; Kırtasiye & Ofis,HIGH,Ana işlev seyahat düzenleme; içeriği owner değiştirmez.,boyut; bölme,NONE,CLEAR,NO,P2
EDGE-0044,BAGS_EQUIPMENT,fotoğrafçı ekipman sırt çantası,Elektronik,Fotoğraf & Kamera,Çanta & Aksesuar,MEDIUM,Equipment-first protective case domain accessory rule gerekir.,kamera uyumu; taşıma tipi,NONE,AMBIGUOUS,YES,P0
EDGE-0045,BAGS_EQUIPMENT,bisiklet kadro çantası,Spor & Outdoor,Bisiklet,Çanta & Aksesuar,MEDIUM,Araç/spor ekipmanına montajlanan çanta fitment rule ile Bisiklet'te.,montaj uyumu; hacim,NONE,AMBIGUOUS,YES,P1
EDGE-0046,BAGS_EQUIPMENT,motosiklet yan çantası,Otomotiv & Motosiklet,Araç Dış Aksesuarları,Çanta & Aksesuar,MEDIUM,Araç fitment'i generic çanta formundan baskın.,model uyumu; hacim,NONE,AMBIGUOUS,YES,P0
EDGE-0047,BAGS_EQUIPMENT,okul sırt çantası,Çanta & Aksesuar,Sırt Çantaları,Kırtasiye & Ofis,MEDIUM,Okul kullanım occasion'ı facet; çanta primary.,yaş; hacim; kullanım,NONE,FACET_CONFUSION,NO,P2
EDGE-0048,BAGS_EQUIPMENT,makyaj malzemesi taşıma çantası,Çanta & Aksesuar,"Evrak, Laptop & Ekipman Çantaları",Kozmetik & Kişisel Bakım,MEDIUM,Generic organizer ile profesyonel equipment case sınırı açıklanmalı.,hacim; profesyonel kullanım,NONE,AMBIGUOUS,YES,P1
EDGE-0049,HOME_KITCHEN_APPLIANCE_HARDWARE,manuel kahve değirmeni,Züccaciye & Mutfak,Çay & Kahve Demleme Gereçleri,Beyaz Eşya & Ev Aletleri,HIGH,Elektriksiz hazırlama gereci züccaciyedir.,öğütüm ayarı; malzeme,NONE,CLEAR,NO,P2
EDGE-0050,HOME_KITCHEN_APPLIANCE_HARDWARE,elektrikli kahve değirmeni,Beyaz Eşya & Ev Aletleri,Küçük Mutfak Aletleri,Züccaciye & Mutfak,HIGH,Motorlu cihaz appliance; manuel eşdeğeri züccaciye.,güç; kapasite,NONE,CLEAR,NO,P2
EDGE-0051,HOME_KITCHEN_APPLIANCE_HARDWARE,moka pot kahve demleyici,Züccaciye & Mutfak,Çay & Kahve Demleme Gereçleri,Beyaz Eşya & Ev Aletleri,HIGH,Elektriksiz ocak üstü demleme gerecidir.,kapasite; ocak uyumu,NONE,CLEAR,NO,P2
EDGE-0052,HOME_KITCHEN_APPLIANCE_HARDWARE,elektrikli su ısıtıcısı,Beyaz Eşya & Ev Aletleri,Küçük Mutfak Aletleri,Züccaciye & Mutfak,HIGH,Elektrikli cihaz appliance.,güç; kapasite,NONE,CLEAR,NO,P2
EDGE-0053,HOME_KITCHEN_APPLIANCE_HARDWARE,çekmece içi mutfak organizeri,Züccaciye & Mutfak,Saklama & Mutfak Düzenleme,Ev & Yaşam,MEDIUM,Oda-spesifik kullanım generic ev düzenlemeden baskın olmalı.,boyut; malzeme,NONE,AMBIGUOUS,YES,P1
EDGE-0054,HOME_KITCHEN_APPLIANCE_HARDWARE,taşınabilir banyo rafı,Ev & Yaşam,Banyo Aksesuarları,"Yapı, Hırdavat & Tesisat",MEDIUM,Movable ürün Ev; tesisata sabitlenen yapı donanımı Hırdavat.,montaj tipi; malzeme,NONE,AMBIGUOUS,YES,P0
EDGE-0055,HOME_KITCHEN_APPLIANCE_HARDWARE,duvara sabit banyo dolabı,Ev & Yaşam,Mobilya,"Yapı, Hırdavat & Tesisat",MEDIUM,Mobilya ile yapı donanımı için movable/fixed ve tesisat kuralı gerekir.,montaj tipi; ölçü,NONE,AMBIGUOUS,YES,P0
EDGE-0056,HOME_KITCHEN_APPLIANCE_HARDWARE,sarkıt tavan lambası,Ev & Yaşam,Aydınlatma,"Yapı, Hırdavat & Tesisat",MEDIUM,Bitmiş aydınlatma ürünü Ev; tesisat bileşenleri Hırdavat.,duy tipi; montaj,NONE,AMBIGUOUS,YES,P1
EDGE-0057,HOME_KITCHEN_APPLIANCE_HARDWARE,Wi-Fi akıllı ampul,Elektronik,Akıllı Ev & Güvenlik,"Ev & Yaşam; Yapı, Hırdavat & Tesisat",MEDIUM,Owner-final connected-device rule Elektronik'i primary yapar.,protokol; duy tipi,NONE,AMBIGUOUS,NO,P2
EDGE-0058,HOME_KITCHEN_APPLIANCE_HARDWARE,duvar tipi mekanik ışık anahtarı,"Yapı, Hırdavat & Tesisat",Elektrik Tesisatı Malzemeleri,Elektronik; Ev & Yaşam,HIGH,Bağlantılı olmayan tesisat elemanıdır.,akım; renk,NONE,CLEAR,NO,P2
EDGE-0059,HOME_KITCHEN_APPLIANCE_HARDWARE,robot süpürge,Beyaz Eşya & Ev Aletleri,Temizlik Cihazları,Elektronik; Ev & Yaşam,HIGH,Owner-final appliance boundary robot süpürgeyi ev aletinde tutar.,haritalama; emiş gücü,NONE,CLEAR,NO,P2
EDGE-0060,HOME_KITCHEN_APPLIANCE_HARDWARE,manuel yer paspası,Ev & Yaşam,Ev Temizliği & Çamaşır Bakımı,Züccaciye & Mutfak; Beyaz Eşya & Ev Aletleri,HIGH,Elektriksiz temizlik gereci Ev; motorlu cihaz appliance.,malzeme; boyut,NONE,CLEAR,NO,P2
EDGE-0061,HOME_KITCHEN_APPLIANCE_HARDWARE,yoğun kimyasal yüzey temizleyici,Ev & Yaşam,Ev Temizliği & Çamaşır Bakımı,"Yapı, Hırdavat & Tesisat",MEDIUM,Ev tüketici temizleyicisi ile profesyonel yapı kimyasalı intended-use kuralı ister.,yüzey; konsantrasyon,CHEMICAL_LABEL_REVIEW,AMBIGUOUS,YES,P1
EDGE-0062,HARDWARE_ELECTRONICS_COMPUTER,elektrikli havya,"Yapı, Hırdavat & Tesisat","Kaynak, Lehim & Metal İşleme",Elektronik,MEDIUM,İşlevsel atölye aleti Hırdavat; maker bileşeni değildir.,güç; uç tipi,NONE,AMBIGUOUS,YES,P1
EDGE-0063,HARDWARE_ELECTRONICS_COMPUTER,lehim teli makarası,"Yapı, Hırdavat & Tesisat","Kaynak, Lehim & Metal İşleme",Elektronik,MEDIUM,İşlem sarfı Hırdavat; elektronik devre parçası değildir.,alaşım; çap,CHEMICAL_LABEL_REVIEW,AMBIGUOUS,YES,P1
EDGE-0064,HARDWARE_ELECTRONICS_COMPUTER,Wi-Fi bağlantılı akıllı kapı kilidi,Elektronik,Akıllı Ev & Güvenlik,"Yapı, Hırdavat & Tesisat",MEDIUM,Connected-device rule Elektronik; mekanik kilit Hırdavat.,protokol; kapı uyumu,SECURITY_DEVICE_REVIEW,AMBIGUOUS,NO,P2
EDGE-0065,HARDWARE_ELECTRONICS_COMPUTER,mekanik barelli kapı kilidi,"Yapı, Hırdavat & Tesisat","Kilit, Kapı & Pencere Donanımları",Elektronik,HIGH,Bağlantısız mekanik donanım Hırdavat.,ölçü; kapı uyumu,NONE,CLEAR,NO,P2
EDGE-0066,HARDWARE_ELECTRONICS_COMPUTER,USB voltaj ve akım test cihazı,"Yapı, Hırdavat & Tesisat","Ölçüm, Test & İşaretleme","Elektronik > Güç, Şarj & Bağlantı",MEDIUM,Primary function ölçümse form faktörü USB olsa da ölçüm cihazıdır.,ölçüm aralığı; konektör,NONE,AMBIGUOUS,YES,P1
EDGE-0067,HARDWARE_ELECTRONICS_COMPUTER,dijital multimetre,"Yapı, Hırdavat & Tesisat","Ölçüm, Test & İşaretleme",Elektronik,HIGH,Elektrik ölçümü yapan atölye/test cihazıdır.,ölçüm aralığı; kategori,SAFETY_STANDARD_REVIEW,CLEAR,NO,P2
EDGE-0068,HARDWARE_ELECTRONICS_COMPUTER,Arduino geliştirme kartı,Elektronik,Elektronik Bileşenler,Bilgisayar & Tablet,HIGH,Owner-final Arduino/maker board boundary Elektronik'tir.,mikrodenetleyici; bağlantı,NONE,CLEAR,NO,P2
EDGE-0069,HARDWARE_ELECTRONICS_COMPUTER,Raspberry Pi tek kart bilgisayar,Bilgisayar & Tablet,Bilgisayar Bileşenleri,Elektronik,HIGH,Owner-final SBC boundary bilgisayar bileşenidir.,RAM; bağlantı,NONE,CLEAR,NO,P2
EDGE-0070,HARDWARE_ELECTRONICS_COMPUTER,akülü matkap yedek bataryası,"Yapı, Hırdavat & Tesisat","Alet Uçları, Aksesuarları & Sarfları","Elektronik > Güç, Şarj & Bağlantı",MEDIUM,Tool-family compatibility domain-specific accessory rule ile Hırdavat.,voltaj; alet uyumu,BATTERY_SAFETY_REVIEW,AMBIGUOUS,YES,P1
EDGE-0071,HARDWARE_ELECTRONICS_COMPUTER,çoklu cihaz USB-C şarj adaptörü,Elektronik,"Güç, Şarj & Bağlantı",Telefon & Aksesuarları; Bilgisayar & Tablet,HIGH,Owner-final generic multi-device charging rule.,watt; protokol; konektör,ELECTRICAL_SAFETY_REVIEW,CLEAR,NO,P2
EDGE-0072,HARDWARE_ELECTRONICS_COMPUTER,telefon modeline özel manyetik şarj standı,Elektronik,Telefon & Aksesuarları > Telefon Modeline Özgü Şarj Aksesuarları,"Güç, Şarj & Bağlantı",HIGH,Owner-final device-specific phone charging rule.,model uyumu; watt,ELECTRICAL_SAFETY_REVIEW,CLEAR,NO,P2
EDGE-0073,HARDWARE_ELECTRONICS_COMPUTER,dahili NVMe SSD,Bilgisayar & Tablet,Bilgisayar Bileşenleri > Dahili Veri Depolama Bileşenleri,Veri Depolama,HIGH,Owner-final internal storage component rule.,form factor; kapasite,NONE,CLEAR,NO,P2
EDGE-0074,AUTOMOTIVE_ELECTRONICS,ön cam araç kamerası,Otomotiv & Motosiklet,Araç Elektroniği,Elektronik > Fotoğraf & Kamera,MEDIUM,Vehicle fitment/intended use Otomotiv'i primary yapar.,araç uyumu; çözünürlük,NONE,AMBIGUOUS,YES,P0
EDGE-0075,AUTOMOTIVE_ELECTRONICS,araca özel Android multimedya ünitesi,Otomotiv & Motosiklet,Araç Elektroniği,Elektronik,MEDIUM,Fitment ve araç entegrasyonu Otomotiv.,araç modeli; ekran,NONE,AMBIGUOUS,YES,P0
EDGE-0076,AUTOMOTIVE_ELECTRONICS,belirli araç konsoluna özel kablosuz telefon şarj pedi,Otomotiv & Motosiklet,Araç Elektroniği,"Elektronik > Güç, Şarj & Bağlantı; Telefon & Aksesuarları",MEDIUM,Araç fitment'i generic charging kuralından baskın.,araç uyumu; telefon uyumu,ELECTRICAL_SAFETY_REVIEW,AMBIGUOUS,YES,P0
EDGE-0077,AUTOMOTIVE_ELECTRONICS,çakmak girişli generic çift USB adaptör,Elektronik,"Güç, Şarj & Bağlantı",Otomotiv & Motosiklet,MEDIUM,"Owner kararı: araç soketi fitment sayılır mı, generic power adapter mı?",soket; watt,ELECTRICAL_SAFETY_REVIEW,AMBIGUOUS,YES,P0
EDGE-0078,AUTOMOTIVE_ELECTRONICS,araç navigasyon GPS cihazı,Otomotiv & Motosiklet,Araç Elektroniği,Elektronik; Spor & Outdoor,MEDIUM,Araç-first kullanım Otomotiv; elde taşınan outdoor GPS farklı owner.,harita; montaj,NONE,AMBIGUOUS,YES,P1
EDGE-0079,AUTOMOTIVE_ELECTRONICS,motosiklet kask interkom seti,Otomotiv & Motosiklet,Araç Elektroniği,Elektronik > Ses & Kulaklık,MEDIUM,Kask/motosiklet uyumluluğu vehicle-specific rule.,kask uyumu; bağlantı,NONE,AMBIGUOUS,YES,P0
EDGE-0080,AUTOMOTIVE_ELECTRONICS,12V araç akü şarj cihazı,Otomotiv & Motosiklet,Akü & Araç Elektriği,"Elektronik > Güç, Şarj & Bağlantı; Yapı, Hırdavat & Tesisat",MEDIUM,Araç aküsüne özgü electrical fitment Otomotiv.,akü tipi; voltaj,ELECTRICAL_SAFETY_REVIEW,AMBIGUOUS,YES,P1
EDGE-0081,AUTOMOTIVE_ELECTRONICS,motosiklet gidon telefon tutucu,Otomotiv & Motosiklet,Araç İçi Aksesuarları,Telefon & Aksesuarları; Spor & Outdoor,MEDIUM,Vehicle mounting fitment Otomotiv'i primary yapar.,gidon ölçüsü; telefon uyumu,NONE,AMBIGUOUS,YES,P0
EDGE-0082,AUTOMOTIVE_ELECTRONICS,generic Bluetooth FM transmitter,Otomotiv & Motosiklet,Araç Elektroniği,Elektronik > Ses & Kulaklık,MEDIUM,Araç güç/ses zincirine yönelik form Otomotiv.,frekans; bağlantı,NONE,AMBIGUOUS,YES,P1
EDGE-0083,AUTOMOTIVE_ELECTRONICS,OBD-II arıza teşhis adaptörü,Otomotiv & Motosiklet,Araç Elektroniği,"Elektronik; Yapı, Hırdavat & Tesisat",MEDIUM,Araç teşhis portu fitment'i primary owner yapar.,protokol; araç uyumu,NONE,AMBIGUOUS,YES,P0
EDGE-0084,AUTOMOTIVE_ELECTRONICS,araç koltuk arkası organizer,Otomotiv & Motosiklet,Araç İçi Aksesuarları,Çanta & Aksesuar; Ev & Yaşam,MEDIUM,Araç montaj/fitment'i generic organizer'dan baskın.,araç uyumu; hacim,NONE,AMBIGUOUS,YES,P1
EDGE-0085,AUTOMOTIVE_ELECTRONICS,taşınabilir generic GPS takip cihazı,Elektronik,Akıllı Ev & Güvenlik,Otomotiv & Motosiklet; Evcil Hayvan Ürünleri,MEDIUM,Nesne/araç/pet kullanım amacı facet olabilir; güvenlik cihazı için root karar gerekir.,bağlantı; kullanım nesnesi,PRIVACY_REVIEW,AMBIGUOUS,YES,P0
EDGE-0086,TOYS_ELECTRONICS_HOBBY,çocuk oyuncak kameralı mini drone,Oyuncak & Hobi,Oyuncak Araçlar & Uzaktan Kumandalı Oyuncaklar,Elektronik > Fotoğraf & Kamera,MEDIUM,Toy-grade intent/age/safety rule gerekir.,yaş; kamera; uçuş ağırlığı,SAFETY_REVIEW,AMBIGUOUS,YES,P0
EDGE-0087,TOYS_ELECTRONICS_HOBBY,hava fotoğrafçılığı kamera drone'u,Elektronik,Fotoğraf & Kamera,Oyuncak & Hobi,MEDIUM,Owner-final camera drone rule Fotoğraf & Kamera.,kamera; uçuş ağırlığı,REGULATED_REVIEW,AMBIGUOUS,NO,P2
