ROOT_ID,OPTION,AFFECTED_BRANCH,AFFECTED_DOCUMENT_FAMILY,DEPENDENT_DECISION_IDS,CONTRADICTION_IDS,ROOT_FIX_IDS,AUTO_RESOLVABLE_COUNT,REQUIRES_POLICY_REVIEW,REQUIRES_RUNTIME_LATER,NOTES
"R07","A","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w16-merchant-sector-taxonomy-foundation","MERCHANT_*; BACKEND_*; RLS_*","ECO-D016;ECO-D017;ECO-D018","ECO-C01;ECO-C13;ECO-C21","ECO-RF01;ECO-RF06","3","YES","YES","Tek direct owner modeli kullanılır."
"R07","B","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w16-merchant-sector-taxonomy-foundation","MERCHANT_*; BACKEND_*; RLS_*","ECO-D016;ECO-D017;ECO-D018","ECO-C01;ECO-C13;ECO-C21","ECO-RF01;ECO-RF06","3","YES","YES","One-shop organization seam ve owner/verifier presetleri kullanılır."
"R07","C","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w16-merchant-sector-taxonomy-foundation","MERCHANT_*; BACKEND_*; RLS_*","ECO-D016;ECO-D017;ECO-D018","ECO-C01;ECO-C13;ECO-C21","ECO-RF01;ECO-RF06","3","YES","YES","Enterprise roller ve full multi-branch ilk günden açılır."
"R08","A","origin/agent2/w16-merchant-sector-taxonomy-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation","MERCHANT_TAXONOMY_*; MERCHANT_*; BACKEND_*","ECO-D019;ECO-D020;ECO-D021","ECO-C02;ECO-C15","ECO-RF07","3","YES","YES","67-leaf proposal doğrudan final sayılır."
"R08","B","origin/agent2/w16-merchant-sector-taxonomy-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation","MERCHANT_TAXONOMY_*; MERCHANT_*; BACKEND_*","ECO-D019;ECO-D020;ECO-D021","ECO-C02;ECO-C15","ECO-RF07","3","YES","YES","Owner review yapılır; org default, future branch override ve sınırlı secondary kullanılır."
"R08","C","origin/agent2/w16-merchant-sector-taxonomy-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation","MERCHANT_TAXONOMY_*; MERCHANT_*; BACKEND_*","ECO-D019;ECO-D020;ECO-D021","ECO-C02;ECO-C15","ECO-RF07","3","YES","NO","Merchant Sector sınıflandırması kullanılmaz."
"R09","A","origin/agent2/w16-merchant-sector-taxonomy-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent1/w21-platform-backend-contract-foundation","POLICY_*; OPS_*; MERCHANT_*; BACKEND_*","ECO-D022;ECO-D023","ECO-C02","ECO-RF07;ECO-RF08","2","YES","YES","Tüm gruplar self-service açılır."
"R09","B","origin/agent2/w16-merchant-sector-taxonomy-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent1/w21-platform-backend-contract-foundation","POLICY_*; OPS_*; MERCHANT_*; BACKEND_*","ECO-D022;ECO-D023","ECO-C02","ECO-RF07;ECO-RF08","2","YES","YES","Ordinary allowlist açılır; unknown/regulated kapanır; service presence var, booking yoktur."
"R09","C","origin/agent2/w16-merchant-sector-taxonomy-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent1/w21-platform-backend-contract-foundation","POLICY_*; OPS_*; MERCHANT_*; BACKEND_*","ECO-D022;ECO-D023","ECO-C02","ECO-RF07;ECO-RF08","2","YES","YES","Her ürün ve merchant manuel review ister."
"R10","A","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","MERCHANT_*; BACKEND_*; ANALYTICS_*; REVIEW_*","ECO-D024;ECO-D027;ECO-D029","ECO-C20;ECO-C24","ECO-RF09;ECO-RF11","3","YES","YES","Best-effort stok, full replies ve tüm kanallar açılır."
"R10","B","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","MERCHANT_*; BACKEND_*; ANALYTICS_*; REVIEW_*","ECO-D024;ECO-D027;ECO-D029","ECO-C20;ECO-C24","ECO-RF09;ECO-RF11","3","YES","YES","Stale sonrası unknown, read/report review ve kritik in-app kanal kullanılır."
"R10","C","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","MERCHANT_*; BACKEND_*; ANALYTICS_*; REVIEW_*","ECO-D024;ECO-D027;ECO-D029","ECO-C20;ECO-C24","ECO-RF09;ECO-RF11","3","YES","NO","Merchant operasyon ve iletişim özelliği açılmaz."
"R11","A","origin/agent1/w21-platform-backend-contract-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w16-customer-app-commercialization-closeout;origin/agent1/w18-reward-gamification-reputation-foundation","BACKEND_*; MERCHANT_*; CUSTOMER_*; REWARD_*","ECO-D025;ECO-D026","ECO-C04;ECO-C07;ECO-C11","ECO-RF03","2","YES","YES","Organization içindeki her branch doğrular; customer quantity kabul edilir."
"R11","B","origin/agent1/w21-platform-backend-contract-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w16-customer-app-commercialization-closeout;origin/agent1/w18-reward-gamification-reputation-foundation","BACKEND_*; MERCHANT_*; CUSTOMER_*; REWARD_*","ECO-D025;ECO-D026","ECO-C04;ECO-C07;ECO-C11","ECO-RF03","2","YES","YES","Exact shop + explicit reissue; enabled ise requested ve merchant-confirmed actual tutulur."
"R11","C","origin/agent1/w21-platform-backend-contract-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w16-customer-app-commercialization-closeout;origin/agent1/w18-reward-gamification-reputation-foundation","BACKEND_*; MERCHANT_*; CUSTOMER_*; REWARD_*","ECO-D025;ECO-D026","ECO-C04;ECO-C07;ECO-C11","ECO-RF03","2","YES","YES","Exact shop doğrular; yalnız fixed-unit ürünler desteklenir."
"R12","A","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w16-customer-app-commercialization-closeout;origin/agent1/w21-platform-backend-contract-foundation","MERCHANT_*; CUSTOMER_*; BACKEND_*","ECO-D028","ECO-C12","ECO-RF06","1","NO","YES","Full ayrı Merchant App pilot öncesi tamamlanır."
"R12","B","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w16-customer-app-commercialization-closeout;origin/agent1/w21-platform-backend-contract-foundation","MERCHANT_*; CUSTOMER_*; BACKEND_*","ECO-D028","ECO-C12","ECO-RF06","1","NO","YES","Önce secure verifier/listing path, sonra ayrı Merchant App geliştirilir."
"R12","C","origin/agent1/w17-merchant-app-master-foundation;origin/agent1/w16-customer-app-commercialization-closeout;origin/agent1/w21-platform-backend-contract-foundation","MERCHANT_*; CUSTOMER_*; BACKEND_*","ECO-D028","ECO-C12","ECO-RF06","1","NO","YES","Merchant işlemleri Customer App role tab’larında yapılır."
"R13","A","origin/agent2/w16-sponsored-advertising-engine-foundation;origin/agent3/w16-canonical-product-catalog-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation","ADS_*; CATALOG_*; OPS_*; BACKEND_*","ECO-D030;ECO-D031","ECO-C06;ECO-C08;ECO-C18","ECO-RF03;ECO-RF10","2","YES","NO","Pilot organic-only olur."
"R13","B","origin/agent2/w16-sponsored-advertising-engine-foundation;origin/agent3/w16-canonical-product-catalog-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation","ADS_*; CATALOG_*; OPS_*; BACKEND_*","ECO-D030;ECO-D031","ECO-C06;ECO-C08;ECO-C18","ECO-RF03;ECO-RF10","2","YES","YES","Pilot sonrası exact-listing Search shadow denenir."
"R13","C","origin/agent2/w16-sponsored-advertising-engine-foundation;origin/agent3/w16-canonical-product-catalog-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation","ADS_*; CATALOG_*; OPS_*; BACKEND_*","ECO-D030;ECO-D031","ECO-C06;ECO-C08;ECO-C18","ECO-RF03;ECO-RF10","2","YES","YES","Multi-surface canlı Ads pilotta açılır."
"R14","A","origin/agent2/w16-sponsored-advertising-engine-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","ADS_*; OPS_*; ANALYTICS_*; BACKEND_*","ECO-D032;ECO-D033;ECO-D034","ECO-C06;ECO-C08","ECO-RF03;ECO-RF10","3","YES","YES","Fixed non-auction, contextual/coarse-location ve conservative reporting kullanılır."
"R14","B","origin/agent2/w16-sponsored-advertising-engine-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","ADS_*; OPS_*; ANALYTICS_*; BACKEND_*","ECO-D032;ECO-D033;ECO-D034","ECO-C06;ECO-C08","ECO-RF03;ECO-RF10","3","YES","YES","CPC/CPA/auction ve behavioral targeting açılır."
"R14","C","origin/agent2/w16-sponsored-advertising-engine-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","ADS_*; OPS_*; ANALYTICS_*; BACKEND_*","ECO-D032;ECO-D033;ECO-D034","ECO-C06;ECO-C08","ECO-RF03;ECO-RF10","3","YES","YES","Shadow-only çalışır; para alınmaz."
"R15","A","origin/agent1/w18-reward-gamification-reputation-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation","REWARD_*; BACKEND_*; OPS_*","ECO-D035;ECO-D036;ECO-D037;ECO-D038","ECO-C07;ECO-C19","ECO-RF03;ECO-RF10","4","YES","NO","Pilotta Reward olmaz."
"R15","B","origin/agent1/w18-reward-gamification-reputation-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation","REWARD_*; BACKEND_*; OPS_*","ECO-D035;ECO-D036;ECO-D037;ECO-D038","ECO-C07;ECO-C19","ECO-RF03;ECO-RF10","4","YES","YES","Pilot sonrası verified-event shadow ledger kurulur."
"R15","C","origin/agent1/w18-reward-gamification-reputation-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation","REWARD_*; BACKEND_*; OPS_*","ECO-D035;ECO-D036;ECO-D037;ECO-D038","ECO-C07;ECO-C19","ECO-RF03;ECO-RF10","4","YES","YES","Canlı cross-merchant points şimdi açılır."
"R16","A","origin/agent1/w18-reward-gamification-reputation-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","GAMIFICATION_*; REPUTATION_*; MERCHANT_*; ANALYTICS_*","ECO-D039;ECO-D040","ECO-C08;ECO-C19","ECO-RF03;ECO-RF10","2","YES","NO","Pilotta public gamification/reputation olmaz."
"R16","B","origin/agent1/w18-reward-gamification-reputation-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","GAMIFICATION_*; REPUTATION_*; MERCHANT_*; ANALYTICS_*","ECO-D039;ECO-D040","ECO-C08;ECO-C19","ECO-RF03;ECO-RF10","2","YES","YES","Yeterli veri sonrası explainable badge ve factual shop signals açılır."
"R16","C","origin/agent1/w18-reward-gamification-reputation-foundation;origin/agent1/w17-merchant-app-master-foundation;origin/agent3/w20-platform-event-analytics-observability-foundation","GAMIFICATION_*; REPUTATION_*; MERCHANT_*; ANALYTICS_*","ECO-D039;ECO-D040","ECO-C08;ECO-C19","ECO-RF03;ECO-RF10","2","YES","YES","Levels, challenges ve composite public score açılır."
"R17","A","origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w22-platform-qa-release-engineering-foundation","OPS_*; BACKEND_*; QA_*","ECO-D041;ECO-D042;ECO-D043","ECO-C09;ECO-C16","ECO-RF01;ECO-RF08","3","YES","NO","Formal Ops süreci kurulmaz."
"R17","B","origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w22-platform-qa-release-engineering-foundation","OPS_*; BACKEND_*; QA_*","ECO-D041;ECO-D042;ECO-D043","ECO-C09;ECO-C16","ECO-RF01;ECO-RF08","3","YES","YES","Scoped roller, manual case/audit ve permanent P0 için second review kullanılır."
"R17","C","origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent1/w21-platform-backend-contract-foundation;origin/agent2/w22-platform-qa-release-engineering-foundation","OPS_*; BACKEND_*; QA_*","ECO-D041;ECO-D042;ECO-D043","ECO-C09;ECO-C16","ECO-RF01;ECO-RF08","3","YES","YES","Enterprise otomatik control plane kurulur."
"R18","A","origin/agent3/w20-platform-event-analytics-observability-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent2/w22-platform-qa-release-engineering-foundation","ANALYTICS_*; OPS_*; QA_*; BACKEND_*","ECO-D044;ECO-D045","ECO-C04;ECO-C06;ECO-C17;ECO-C20;ECO-C24","ECO-RF09","2","YES","YES","Minimum health, QR ve discovery ölçümleri coarse/minimized inputs ile tutulur."
"R18","B","origin/agent3/w20-platform-event-analytics-observability-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent2/w22-platform-qa-release-engineering-foundation","ANALYTICS_*; OPS_*; QA_*; BACKEND_*","ECO-D044;ECO-D045","ECO-C04;ECO-C06;ECO-C17;ECO-C20;ECO-C24","ECO-RF09","2","YES","YES","Geniş customer funnels ve profiles tutulur."
"R18","C","origin/agent3/w20-platform-event-analytics-observability-foundation;origin/agent2/w19-platform-operations-trust-safety-foundation;origin/agent2/w22-platform-qa-release-engineering-foundation","ANALYTICS_*; OPS_*; QA_*; BACKEND_*","ECO-D044;ECO-D045","ECO-C04;ECO-C06;ECO-C17;ECO-C20;ECO-C24","ECO-RF09","2","YES","YES","Yalnız operasyon logları tutulur; product learning ölçülmez."
