"LEGACY_NODE_ID","LEGACY_LEVEL","LEGACY_PARENT_ID","LEGACY_PATH","LEGACY_NAME","LEGACY_SLUG","CURRENT_STATUS","TARGET_L1","TARGET_L2","TARGET_L3","TARGET_L4","TARGET_STATE","RECONCILIATION_ACTION","CONFIDENCE","OWNER_DECISION_REQUIRED","POLICY_FLAG","ALIAS_REQUIRED","SUCCESSOR_COUNT","NOTES"
"kuruyemis-kuru-meyve","3","icecek-atistirmalik","Market & Gıda > İçecek & Atıştırmalık > Kuruyemiş & Kuru Meyve","Kuruyemiş & Kuru Meyve","kuruyemis-kuru-meyve","active","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"taze-donuk-hazir-gida","2","market-gida","Market & Gıda > Taze, Donuk & Hazır Gıda","Taze, Donuk & Hazır Gıda","taze-donuk-hazir-gida","active","Gıda & İçecek","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","5","Provisional L2 candidates: Taze Meyve & Sebze | Et, Tavuk, Balık & Şarküteri | Ekmek, Unlu Mamuller & Pastacılık | Hazır & Pratik Gıda | Donuk Gıda"
"taze-meyve","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Taze Meyve","Taze Meyve","taze-meyve","active","Gıda & İçecek","Taze Meyve & Sebze","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"taze-sebze","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Taze Sebze","Taze Sebze","taze-sebze","active","Gıda & İçecek","Taze Meyve & Sebze","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"ekmek-unlu-mamuller","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Ekmek & Unlu Mamuller","Ekmek & Unlu Mamuller","ekmek-unlu-mamuller","active","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"et-tavuk-urunleri","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Et & Tavuk Ürünleri","Et & Tavuk Ürünleri","et-tavuk-urunleri","active","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"sarkuteri","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Şarküteri","Şarküteri","sarkuteri","active","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"balik-deniz-urunleri","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Balık & Deniz Ürünleri","Balık & Deniz Ürünleri","balik-deniz-urunleri","active","Gıda & İçecek","Et, Tavuk, Balık & Şarküteri","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"dondurulmus-gida","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Dondurulmuş Gıda","Dondurulmuş Gıda","dondurulmus-gida","active","Gıda & İçecek","Donuk Gıda","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"hazir-yemek-meze","3","taze-donuk-hazir-gida","Market & Gıda > Taze, Donuk & Hazır Gıda > Hazır Yemek & Meze","Hazır Yemek & Meze","hazir-yemek-meze","active","Gıda & İçecek","Hazır & Pratik Gıda","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","cold_chain","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"moda-giyim","1","","Moda & Giyim","Moda & Giyim","moda-giyim","active","Giyim & Moda","","","","CANONICAL_FINAL","RENAME","HIGH","NO","","YES","1",""
"ust-giyim","2","moda-giyim","Moda & Giyim > Üst Giyim","Üst Giyim","ust-giyim","active","Giyim & Moda","Üst Giyim","","","PROVISIONAL_PROPOSAL","KEEP","MEDIUM","YES","","NO","1","Target is an unapproved L2 proposal; action becomes executable only after owner finalization."
"tisort","3","ust-giyim","Moda & Giyim > Üst Giyim > Tişört","Tişört","tisort","active","Giyim & Moda","Üst Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"gomlek-bluz","3","ust-giyim","Moda & Giyim > Üst Giyim > Gömlek & Bluz","Gömlek & Bluz","gomlek-bluz","active","Giyim & Moda","Üst Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"kazak-hirka","3","ust-giyim","Moda & Giyim > Üst Giyim > Kazak & Hırka","Kazak & Hırka","kazak-hirka","active","Giyim & Moda","Üst Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"sweatshirt-hoodie","3","ust-giyim","Moda & Giyim > Üst Giyim > Sweatshirt & Hoodie","Sweatshirt & Hoodie","sweatshirt-hoodie","active","Giyim & Moda","Üst Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"tunik","3","ust-giyim","Moda & Giyim > Üst Giyim > Tunik","Tunik","tunik","active","Giyim & Moda","Üst Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"alt-giyim","2","moda-giyim","Moda & Giyim > Alt Giyim","Alt Giyim","alt-giyim","active","Giyim & Moda","Alt Giyim","","","PROVISIONAL_PROPOSAL","KEEP","MEDIUM","YES","","NO","1","Target is an unapproved L2 proposal; action becomes executable only after owner finalization."
"pantolon","3","alt-giyim","Moda & Giyim > Alt Giyim > Pantolon","Pantolon","pantolon","active","Giyim & Moda","Alt Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"jean","3","alt-giyim","Moda & Giyim > Alt Giyim > Jean","Jean","jean","active","Giyim & Moda","Alt Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"etek","3","alt-giyim","Moda & Giyim > Alt Giyim > Etek","Etek","etek","active","Giyim & Moda","Alt Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"sort","3","alt-giyim","Moda & Giyim > Alt Giyim > Şort","Şort","sort","active","Giyim & Moda","Alt Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"tayt-esofman-alti","3","alt-giyim","Moda & Giyim > Alt Giyim > Tayt & Eşofman Altı","Tayt & Eşofman Altı","tayt-esofman-alti","active","Giyim & Moda","Alt Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"dis-giyim-tek-parca","2","moda-giyim","Moda & Giyim > Dış Giyim & Tek Parça","Dış Giyim & Tek Parça","dis-giyim-tek-parca","active","Giyim & Moda","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","3","Provisional L2 candidates: Elbise & Tulum | Takım & Kombinler | Dış Giyim"
"mont-kaban-parka","3","dis-giyim-tek-parca","Moda & Giyim > Dış Giyim & Tek Parça > Mont, Kaban & Parka","Mont, Kaban & Parka","mont-kaban-parka","active","Giyim & Moda","Dış Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"ceket-blazer","3","dis-giyim-tek-parca","Moda & Giyim > Dış Giyim & Tek Parça > Ceket & Blazer","Ceket & Blazer","ceket-blazer","active","Giyim & Moda","Dış Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"yagmurluk-ruzgarlik","3","dis-giyim-tek-parca","Moda & Giyim > Dış Giyim & Tek Parça > Yağmurluk & Rüzgarlık","Yağmurluk & Rüzgarlık","yagmurluk-ruzgarlik","active","Giyim & Moda","","","","PROVISIONAL_PROPOSAL","UNRESOLVED","LOW","YES","","NO","0","Provisional L2 candidates: Elbise & Tulum | Takım & Kombinler | Dış Giyim"
"elbise","3","dis-giyim-tek-parca","Moda & Giyim > Dış Giyim & Tek Parça > Elbise","Elbise","elbise","active","Giyim & Moda","Elbise & Tulum","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"tulum-giyim","3","dis-giyim-tek-parca","Moda & Giyim > Dış Giyim & Tek Parça > Tulum","Tulum","tulum-giyim","active","Giyim & Moda","Elbise & Tulum","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"takim-elbise","3","dis-giyim-tek-parca","Moda & Giyim > Dış Giyim & Tek Parça > Takım Elbise","Takım Elbise","takim-elbise","active","Giyim & Moda","","","","PROVISIONAL_PROPOSAL","UNRESOLVED","LOW","YES","","NO","0","Provisional L2 candidates: Elbise & Tulum | Takım & Kombinler | Dış Giyim"
"ic-giyim-ev-giyimi-fonksiyonel","2","moda-giyim","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim","İç Giyim, Ev Giyimi & Fonksiyonel Giyim","ic-giyim-ev-giyimi-fonksiyonel","active","Giyim & Moda","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","5","Provisional L2 candidates: İç Giyim | Ev & Uyku Giyimi | Spor & Performans Giyimi | Mayo & Plaj Giyimi | İş Giyimi & Üniforma"
"ic-camasiri","3","ic-giyim-ev-giyimi-fonksiyonel","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim > İç Çamaşırı","İç Çamaşırı","ic-camasiri","active","Giyim & Moda","İç Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"sutyen-korse","3","ic-giyim-ev-giyimi-fonksiyonel","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim > Sütyen & Korse","Sütyen & Korse","sutyen-korse","active","Giyim & Moda","İç Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"pijama-gecelik","3","ic-giyim-ev-giyimi-fonksiyonel","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim > Pijama & Gecelik","Pijama & Gecelik","pijama-gecelik","active","Giyim & Moda","Ev & Uyku Giyimi","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"corap-kulotlu-corap","3","ic-giyim-ev-giyimi-fonksiyonel","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim > Çorap & Külotlu Çorap","Çorap & Külotlu Çorap","corap-kulotlu-corap","active","Giyim & Moda","İç Giyim","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"is-kiyafeti-uniforma","3","ic-giyim-ev-giyimi-fonksiyonel","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim > İş Kıyafeti & Üniforma","İş Kıyafeti & Üniforma","is-kiyafeti-uniforma","active","Giyim & Moda","İş Giyimi & Üniforma","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","safety_critical","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design. Policy/risk gate remains independent of taxonomy placement."
"mayo-plaj-giyimi","3","ic-giyim-ev-giyimi-fonksiyonel","Moda & Giyim > İç Giyim, Ev Giyimi & Fonksiyonel Giyim > Mayo & Plaj Giyimi","Mayo & Plaj Giyimi","mayo-plaj-giyimi","active","Giyim & Moda","Mayo & Plaj Giyimi","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"ayakkabi","1","","Ayakkabı","Ayakkabı","ayakkabi","active","Ayakkabı","","","","CANONICAL_FINAL","KEEP","HIGH","NO","","NO","1",""
"gunluk-klasik-ayakkabi","2","ayakkabi","Ayakkabı > Günlük & Klasik Ayakkabı","Günlük & Klasik Ayakkabı","gunluk-klasik-ayakkabi","active","Ayakkabı","","","","PROVISIONAL_PROPOSAL","SPLIT","MEDIUM","YES","","NO","2","Provisional L2 candidates: Günlük Ayakkabılar | Klasik Ayakkabılar"
"gunluk-bagcikli-ayakkabi","3","gunluk-klasik-ayakkabi","Ayakkabı > Günlük & Klasik Ayakkabı > Günlük Bağcıklı Ayakkabı","Günlük Bağcıklı Ayakkabı","gunluk-bagcikli-ayakkabi","active","Ayakkabı","Günlük Ayakkabılar","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"mokasen-loafer","3","gunluk-klasik-ayakkabi","Ayakkabı > Günlük & Klasik Ayakkabı > Mokasen & Loafer","Mokasen & Loafer","mokasen-loafer","active","Ayakkabı","Günlük Ayakkabılar","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"babet-duz-ayakkabi","3","gunluk-klasik-ayakkabi","Ayakkabı > Günlük & Klasik Ayakkabı > Babet & Düz Ayakkabı","Babet & Düz Ayakkabı","babet-duz-ayakkabi","active","Ayakkabı","Günlük Ayakkabılar","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"klasik-ayakkabi","3","gunluk-klasik-ayakkabi","Ayakkabı > Günlük & Klasik Ayakkabı > Klasik Ayakkabı","Klasik Ayakkabı","klasik-ayakkabi","active","Ayakkabı","Klasik Ayakkabılar","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"topuklu-ayakkabi","3","gunluk-klasik-ayakkabi","Ayakkabı > Günlük & Klasik Ayakkabı > Topuklu Ayakkabı","Topuklu Ayakkabı","topuklu-ayakkabi","active","Ayakkabı","","","","PROVISIONAL_PROPOSAL","UNRESOLVED","LOW","YES","","NO","0","Provisional L2 candidates: Günlük Ayakkabılar | Klasik Ayakkabılar"
"spor-ayakkabi","2","ayakkabi","Ayakkabı > Spor Ayakkabı","Spor Ayakkabı","spor-ayakkabi","active","Ayakkabı","Spor Ayakkabıları","","","PROVISIONAL_PROPOSAL","RENAME","MEDIUM","YES","","NO","1","Target is an unapproved L2 proposal; action becomes executable only after owner finalization."
"kosu-ayakkabisi","3","spor-ayakkabi","Ayakkabı > Spor Ayakkabı > Koşu Ayakkabısı","Koşu Ayakkabısı","kosu-ayakkabisi","active","Ayakkabı","Spor Ayakkabıları","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"yuruyus-ayakkabisi","3","spor-ayakkabi","Ayakkabı > Spor Ayakkabı > Yürüyüş Ayakkabısı","Yürüyüş Ayakkabısı","yuruyus-ayakkabisi","active","Ayakkabı","Spor Ayakkabıları","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"gunluk-sneaker","3","spor-ayakkabi","Ayakkabı > Spor Ayakkabı > Günlük Sneaker","Günlük Sneaker","gunluk-sneaker","active","Ayakkabı","Spor Ayakkabıları","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"salon-antrenman-ayakkabisi","3","spor-ayakkabi","Ayakkabı > Spor Ayakkabı > Salon & Antrenman Ayakkabısı","Salon & Antrenman Ayakkabısı","salon-antrenman-ayakkabisi","active","Ayakkabı","Spor Ayakkabıları","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"futbol-ayakkabisi","3","spor-ayakkabi","Ayakkabı > Spor Ayakkabı > Futbol Ayakkabısı","Futbol Ayakkabısı","futbol-ayakkabisi","active","Ayakkabı","Spor Ayakkabıları","","","PROVISIONAL_PROPOSAL","UNRESOLVED","MEDIUM","YES","","NO","0","Provisional target container inferred; exact L3/L4 successor awaits owner-final lower-level design."
"bot-cizme","2","ayakkabi","Ayakkabı > Bot & Çizme","Bot & Çizme","bot-cizme","active","Ayakkabı","Bot & Çizmeler","","","PROVISIONAL_PROPOSAL","RENAME","MEDIUM","YES","","NO","1","Target is an unapproved L2 proposal; action becomes executable only after owner finalization."
