sourceKey,sourceWave,sourceDecisionId,masterRootId,rootState,classification,applyAfter,blocks,autoResolves,professionalRoute,ownerAction,applyTarget,optionSelected
W23-ECO-D011,Wave 23,ECO-D011,OM-R08,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,OM-R12,NONE,REGULATORY,OWNER_CAN_DECIDE_PROVISIONALLY,"OM-R08 — Catalog intake, ölçü ve medya yayın sınırı",NO
W23-ECO-D012,Wave 23,ECO-D012,OM-R08,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,OM-R12,NONE,REGULATORY,OWNER_CAN_DECIDE_PROVISIONALLY,"OM-R08 — Catalog intake, ölçü ve medya yayın sınırı",NO
W23-ECO-D013,Wave 23,ECO-D013,OM-R07,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,INHERITS_ROOT_FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
W23-ECO-D014,Wave 23,ECO-D014,OM-R07,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,INHERITS_ROOT_FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
W23-ECO-D015,Wave 23,ECO-D015,OM-R08,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,OM-R12,NONE,REGULATORY,OWNER_CAN_DECIDE_PROVISIONALLY,"OM-R08 — Catalog intake, ölçü ve medya yayın sınırı",NO
W23-ECO-D016,Wave 23,ECO-D016,OM-R09,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R11;OM-R12;OM-R13,multi-staff/multi-branch trigger after cohort evidence,NONE,INHERITS_ROOT_FINAL_A,"OM-R09 — Merchant organization, authority ve pilot cohort",A
W23-ECO-D017,Wave 23,ECO-D017,OM-R09,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R11;OM-R12;OM-R13,multi-staff/multi-branch trigger after cohort evidence,NONE,INHERITS_ROOT_FINAL_A,"OM-R09 — Merchant organization, authority ve pilot cohort",A
W23-ECO-D018,Wave 23,ECO-D018,OM-R09,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R11;OM-R12;OM-R13,multi-staff/multi-branch trigger after cohort evidence,NONE,INHERITS_ROOT_FINAL_A,"OM-R09 — Merchant organization, authority ve pilot cohort",A
W23-ECO-D019,Wave 23,ECO-D019,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W23-ECO-D020,Wave 23,ECO-D020,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W23-ECO-D021,Wave 23,ECO-D021,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W23-ECO-D022,Wave 23,ECO-D022,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W23-ECO-D023,Wave 23,ECO-D023,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W23-ECO-D024,Wave 23,ECO-D024,OM-R12,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,INHERITS_ROOT_FINAL_A,"OM-R12 — Listing truth, freshness ve iletişim",A
W23-ECO-D025,Wave 23,ECO-D025,OM-R13,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R25;OM-R26;OM-R31,verifier history depth after rollout scope,NONE,INHERITS_ROOT_FINAL_A,"OM-R13 — QR rollout, exact-shop kanıtı ve merchant history",A
W23-ECO-D026,Wave 23,ECO-D026,OM-R13,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R25;OM-R26;OM-R31,verifier history depth after rollout scope,NONE,INHERITS_ROOT_FINAL_A,"OM-R13 — QR rollout, exact-shop kanıtı ve merchant history",A
W23-ECO-D027,Wave 23,ECO-D027,OM-R26,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,OM-R25;OM-R13,OM-R27,NONE,KVKK,OWNER_CAN_DECIDE_PROVISIONALLY,OM-R26 — Shop evaluation katkısı ve merchant feed projection,NO
W23-ECO-D028,Wave 23,ECO-D028,OM-R11,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R13,packaging spike after operating model,NONE,INHERITS_ROOT_FINAL_B,OM-R11 — Minimum Merchant App ve assisted operating model,B
W23-ECO-D029,Wave 23,ECO-D029,OM-R12,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,INHERITS_ROOT_FINAL_A,"OM-R12 — Listing truth, freshness ve iletişim",A
W23-ECO-D030,Wave 23,ECO-D030,OM-R29,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W23-ECO-D031,Wave 23,ECO-D031,OM-R29,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W23-ECO-D032,Wave 23,ECO-D032,OM-R29,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W23-ECO-D033,Wave 23,ECO-D033,OM-R29,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W23-ECO-D034,Wave 23,ECO-D034,OM-R29,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W23-ECO-D035,Wave 23,ECO-D035,OM-R30,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W23-ECO-D036,Wave 23,ECO-D036,OM-R30,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W23-ECO-D037,Wave 23,ECO-D037,OM-R30,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W23-ECO-D038,Wave 23,ECO-D038,OM-R30,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W23-ECO-D039,Wave 23,ECO-D039,OM-R28,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,OM-R27,,NONE,LAWYER;KVKK;TECHNICAL_ARCHITECT,DEFERRED_POST_PILOT,"OM-R28 — Reputation algoritması, composite ve Mahallenin Yıldızı",NO
W23-ECO-D040,Wave 23,ECO-D040,OM-R27,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,OM-R26,OM-R28,public surface after publication timing,LAWYER;KVKK,DEFERRED_POST_PILOT,OM-R27 — Public reputation kapsamı ve badge yayın zamanı,NO
W23-ECO-D041,Wave 23,ECO-D041,OM-R14,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,INHERITS_ROOT_FINAL_A,"OM-R14 — Lean Operations, support, staffing ve yetki",A
W23-ECO-D042,Wave 23,ECO-D042,OM-R14,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,INHERITS_ROOT_FINAL_A,"OM-R14 — Lean Operations, support, staffing ve yetki",A
W23-ECO-D043,Wave 23,ECO-D043,OM-R18,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R04;OM-R05;OM-R14,NONE,LAWYER;KVKK,INHERITS_ROOT_FINAL_A,"OM-R18 — Terms, privacy, hesap yaşam döngüsü ve disclosure",A
W23-ECO-D044,Wave 23,ECO-D044,OM-R15,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,dashboard shape after KPI set,KVKK,INHERITS_ROOT_FINAL_A,"OM-R15 — Pilot KPI, analytics, monitoring ve privacy sınırı",A
W23-ECO-D045,Wave 23,ECO-D045,OM-R15,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,dashboard shape after KPI set,KVKK,INHERITS_ROOT_FINAL_A,"OM-R15 — Pilot KPI, analytics, monitoring ve privacy sınırı",A
W23-ECO-D046,Wave 23,ECO-D046,OM-R04,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R31,UI-R15 acceptance evidence detail; CI vendor choice,NONE,INHERITS_ROOT_FINAL_A,"OM-R04 — Pilot platformu, exact artifact ve kabul kanıtı",A
W23-ECO-D047,Wave 23,ECO-D047,OM-R04,PRODUCT_OWNER_FINAL,IMPLEMENTATION_DETAIL_NOT_OWNER_DECISION,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R31,UI-R15 acceptance evidence detail; CI vendor choice,NONE,INHERITS_ROOT_FINAL_A,"OM-R04 — Pilot platformu, exact artifact ve kabul kanıtı",A
W23-ECO-D048,Wave 23,ECO-D048,OM-R06,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08,NONE,NONE,INHERITS_ROOT_FINAL_B,"OM-R06 — Taxonomy, facet, legacy ve demo aktivasyonu",B
W25-R01,Wave 25,R01,OM-R04,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R31,UI-R15 acceptance evidence detail; CI vendor choice,NONE,FINAL=A,"OM-R04 — Pilot platformu, exact artifact ve kabul kanıtı",A
W25-R02,Wave 25,R02,OM-R05,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R17,UI-R06 AuthGuard implementation copy after access rule,KVKK,FINAL=A,"OM-R05 — Customer erişimi, konum, yerel geçmiş ve AuthGuard",A
W25-R03,Wave 25,R03,OM-R06,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08,NONE,NONE,FINAL_B,"OM-R06 — Taxonomy, facet, legacy ve demo aktivasyonu",B
W25-R04,Wave 25,R04,OM-R07,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
W25-R05,Wave 25,R05,OM-R08,PROPOSED_MASTER_QUEUE,EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,OM-R12,NONE,REGULATORY,OWNER_CAN_DECIDE_PROVISIONALLY,"OM-R08 — Catalog intake, ölçü ve medya yayın sınırı",NO
W25-R06,Wave 25,R06,OM-R07,PRODUCT_OWNER_FINAL,AUTO_RESOLVABLE_AFTER_PARENT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_03,OM-R08;OM-R12;OM-R13;OM-R26,catalog merge/split lineage engineering invariant,NONE,INHERITS_ROOT_FINAL_B,"OM-R07 — Product, Variant, Listing ve identifier kimliği",B
W25-R07,Wave 25,R07,OM-R09,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R11;OM-R12;OM-R13,multi-staff/multi-branch trigger after cohort evidence,NONE,FINAL_A,"OM-R09 — Merchant organization, authority ve pilot cohort",A
W25-R08,Wave 25,R08,OM-R10,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W25-R09,Wave 25,R09,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W25-R10,Wave 25,R10,OM-R12,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,FINAL_A,"OM-R12 — Listing truth, freshness ve iletişim",A
W25-R11,Wave 25,R11,OM-R13,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R25;OM-R26;OM-R31,verifier history depth after rollout scope,NONE,FINAL_A,"OM-R13 — QR rollout, exact-shop kanıtı ve merchant history",A
W25-R12,Wave 25,R12,OM-R11,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R13,packaging spike after operating model,NONE,FINAL_B,OM-R11 — Minimum Merchant App ve assisted operating model,B
W25-R13,Wave 25,R13,OM-R29,PROPOSED_MASTER_QUEUE,EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W25-R14,Wave 25,R14,OM-R29,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W25-R15,Wave 25,R15,OM-R30,PROPOSED_MASTER_QUEUE,EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W25-R16,Wave 25,R16,OM-R27,PROPOSED_MASTER_QUEUE,EXISTING_ROOT,OM-R26,OM-R28,public surface after publication timing,LAWYER;KVKK,DEFERRED_POST_PILOT,OM-R27 — Public reputation kapsamı ve badge yayın zamanı,NO
W25-R17,Wave 25,R17,OM-R14,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,FINAL_A,"OM-R14 — Lean Operations, support, staffing ve yetki",A
W25-R18,Wave 25,R18,OM-R15,PRODUCT_OWNER_FINAL,EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,dashboard shape after KPI set,KVKK,FINAL_A,"OM-R15 — Pilot KPI, analytics, monitoring ve privacy sınırı",A
W24-OD-01,Wave 24,OD-01,OM-R18,PRODUCT_OWNER_FINAL,NEW_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R04;OM-R05;OM-R14,NONE,LAWYER;KVKK,FINAL_A,"OM-R18 — Terms, privacy, hesap yaşam döngüsü ve disclosure",A
W24-OD-02,Wave 24,OD-02,OM-R14,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,INHERITS_ROOT_FINAL_A,"OM-R14 — Lean Operations, support, staffing ve yetki",A
W24-OD-03,Wave 24,OD-03,OM-R10,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W24-OD-04,Wave 24,OD-04,OM-R10,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W24-OD-05,Wave 24,OD-05,OM-R10,PRODUCT_OWNER_FINAL,CHILD_OF_EXISTING_ROOT,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
W24-OD-06,Wave 24,OD-06,OM-R29,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W24-OD-07,Wave 24,OD-07,OM-R29,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W24-OD-08,Wave 24,OD-08,OM-R29,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,pricing/attribution only if Ads enabled,LAWYER;KVKK,DEFERRED_POST_PILOT,"OM-R29 — Ads zamanı, nesnesi, ekonomiği ve privacy",NO
W24-OD-09,Wave 24,OD-09,OM-R26,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,OM-R25;OM-R13,OM-R27,NONE,KVKK,OWNER_CAN_DECIDE_PROVISIONALLY,OM-R26 — Shop evaluation katkısı ve merchant feed projection,NO
W24-OD-10,Wave 24,OD-10,OM-R26,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,OM-R25;OM-R13,OM-R27,NONE,KVKK,OWNER_CAN_DECIDE_PROVISIONALLY,OM-R26 — Shop evaluation katkısı ve merchant feed projection,NO
W24-OD-11,Wave 24,OD-11,OM-R13,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R25;OM-R26;OM-R31,verifier history depth after rollout scope,NONE,INHERITS_ROOT_FINAL_A,"OM-R13 — QR rollout, exact-shop kanıtı ve merchant history",A
W24-OD-12,Wave 24,OD-12,OM-R05,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29,OM-R21;OM-R17,UI-R06 AuthGuard implementation copy after access rule,KVKK,INHERITS_ROOT_FINAL_A,"OM-R05 — Customer erişimi, konum, yerel geçmiş ve AuthGuard",A
W24-OD-13,Wave 24,OD-13,OM-R15,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,dashboard shape after KPI set,KVKK,INHERITS_ROOT_FINAL_A,"OM-R15 — Pilot KPI, analytics, monitoring ve privacy sınırı",A
W24-OD-14,Wave 24,OD-14,OM-R12,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R31,NONE,LAWYER,INHERITS_ROOT_FINAL_A,"OM-R12 — Listing truth, freshness ve iletişim",A
W24-OD-15,Wave 24,OD-15,OM-R30,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W24-OD-16,Wave 24,OD-16,OM-R30,PROPOSED_MASTER_QUEUE,DEPENDENT_DECISION,MASTER_ROOT_OWNER_RESPONSE,,earning/redemption only if Reward enabled,LAWYER;ACCOUNTANT,DEFERRED_POST_PILOT,"OM-R30 — Reward zamanı, ekonomiği ve değer transferi",NO
W24-OD-17,Wave 24,OD-17,OM-R27,PROPOSED_MASTER_QUEUE,CHILD_OF_EXISTING_ROOT,OM-R26,OM-R28,public surface after publication timing,LAWYER;KVKK,DEFERRED_POST_PILOT,OM-R27 — Public reputation kapsamı ve badge yayın zamanı,NO
W24-OD-18,Wave 24,OD-18,OM-R10,PRODUCT_OWNER_FINAL,DEPENDENT_DECISION,OWNER_DECISION_APPLIED_2026-08-29_BATCH_02,OM-R09;OM-R11;OM-R12,regulated expansion stays closed until professional approval,LAWYER;REGULATORY,INHERITS_ROOT_FINAL_A,"OM-R10 — Merchant sector, verification ve policy allowlist",A
