"L1","L2","L3","L4","LEAF_YN","NODE_STATE","POLICY_CLASS","PRIMARY_DOMAIN","FACET_NOTES","SYNONYM_NOTES","OWNER_DECISION_REQUIRED","PROFESSIONAL_REVIEW_REQUIRED","SOURCE_NOTES"
"Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","Pasta & Pastane Tatlıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","Mercimek","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","Nohut","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","Kuru Fasulye & Diğer Bakliyat","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Pirinç & Bulgur","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Tahıl, Yulaf & Hububat","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Bakliyat, Tahıl & Makarna","Makarna & Erişte","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Unlar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Şeker & Tatlandırıcılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Maya & Kabartma Ürünleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Kakao & Pişirme Çikolatası","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Pasta Süsleme & Dolgu Malzemeleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Yağ & Sirke","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","Zeytinyağı","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","Bitkisel Sıvı Yağlar","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","Katı Yemeklik Yağlar","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Yağ & Sirke","Sirke","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Kahvaltılık","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Kahvaltılık","Bal & Pekmez","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Kahvaltılık","Reçel & Marmelat","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Kahvaltılık","Sürülebilir Ezme & Kremalar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Kahvaltılık","Zeytin","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Kahvaltılık","Kahvaltılık Gevrek & Granola","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Çikolata","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Şekerleme & Sakız","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Bisküvi, Kraker & Kek","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Cips & Tuzlu Atıştırmalık","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Kuruyemiş","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Kuru Meyve","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Atıştırmalık Barlar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","LEGAL_REVIEW_REQUIRED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","Su & Maden Suyu","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","Gazlı İçecekler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","Meyve Suyu & Meyveli İçecekler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","Çay","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","Kahve","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","Bitki & Meyve Çayları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","LEGAL_REVIEW_REQUIRED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Alkolsüz İçecekler","İçecek Tozları & Konsantreler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Sos, Baharat & Çeşni","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Sos, Baharat & Çeşni","Salça","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Sos, Baharat & Çeşni","Sofra Sosları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Sos, Baharat & Çeşni","Yemek & Pişirme Sosları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Sos, Baharat & Çeşni","Baharatlar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Sos, Baharat & Çeşni","Tuz & Çeşni Karışımları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Konserve & Kavanoz Ürünleri","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Konserve & Kavanoz Ürünleri","Sebze & Bakliyat Konserveleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Konserve & Kavanoz Ürünleri","Balık & Et Konserveleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","YES","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Gıda & İçecek","Konserve & Kavanoz Ürünleri","Turşu","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Gıda & İçecek","See Gıda & İçecek candidate facet registry; characteristics remain facets","See Gıda & İçecek candidate synonym registry","YES","NO","Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
