"SCREEN_ID","FEATURE","VIEW","FILE","CUSTOMER_SCOPE","TARGET_WAVE","PRIORITY","CANONICAL_DEPENDENCIES","FUNCTIONAL_INVARIANTS","OWNER_VISUAL_GATE"
"SCR-016","shop","ProductDetailsView","lib/features/shop/presentation/views/product_details_view.dart","PRIMARY","5","P0","MediaFrame;RatingSummary;SellerPriceRow;Button","product identity sellers cart/wishlist","YES"
"SCR-017","shop","ProductReviewsView","lib/features/shop/presentation/views/product_reviews_view.dart","PRIMARY","8","P0","ReviewCard;ReviewEditor;VerifiedBadge;StateShell","review rights and eligibility","YES"
"SCR-018","shop","ShopProfileView","lib/features/shop/presentation/views/shop_profile_view.dart","PRIMARY","6","P0","MerchantHeader;RatingSummary;ProductCard;Button","directions/chat/auth/shop products","YES"
"SCR-019","shop","CartV2View","lib/features/shop/presentation/views/cart_v2_view.dart","PRIMARY","7","P0","CartShopHeader;CartItem;ConflictState;QRSheet","single-store totals QR and confirmations","YES"
"SCR-020","shop","WishlistView","lib/features/shop/presentation/views/wishlist_view.dart","PRIMARY","9","P1","ProductCard;StateShell","auth and favorite state","NO"
"SCR-021","shop","RecentlyViewedProductsView","lib/features/shop/presentation/views/recently_viewed_products_view.dart","PRIMARY","9","P2","ProductCard;StateShell","history and product navigation","NO"
"SCR-022","personalization","SettingsView","lib/features/personalization/presentation/views/settings_view.dart","PRIMARY","9","P1","AppBar;SettingsRow;BottomNav","route map unread/account actions","NO"
"SCR-023","personalization","ProfileView","lib/features/personalization/presentation/views/profile_view.dart","PRIMARY","9","P1","ProfileHeader;TextField;BottomSheet","profile read/update","NO"
"SCR-024","personalization","UserAddressesView","lib/features/personalization/presentation/views/user_addresses_view.dart","PRIMARY","9","P1","AddressRow;StateShell","address CRUD/navigation","NO"
"SCR-025","personalization","AddNewAddressesView","lib/features/personalization/presentation/views/add_new_addresses_view.dart","PRIMARY","9","P1","TextField;Button","address validation/save","NO"
"SCR-026","personalization","CustomerSavedLocationsView","lib/features/personalization/presentation/views/customer_saved_locations_view.dart","PRIMARY","9","P1","LocationField;AddressRow;StateShell","location permission and persistence","YES"
"SCR-027","personalization","PrivacyAndPermissionsView","lib/features/personalization/presentation/views/privacy_and_permissions_view.dart","PRIMARY","9","P1","SettingsRow;StateChip","permission truth and platform links","NO"
"SCR-028","personalization","HelpAndSupportView","lib/features/personalization/presentation/views/help_and_support_view.dart","PRIMARY","9","P2","DocumentShell;SettingsRow","support links/content","NO"
"SCR-029","personalization","CustomerCouponsView","lib/features/personalization/presentation/views/customer_coupons_view.dart","PRIMARY","10","P2","StateShell","do not imply active reward engine","YES"
"SCR-030","chat","ConversationsView","lib/features/chat/presentation/views/conversations_view.dart","PRIMARY","9","P1","ConversationRow;StateShell","unread/realtime/navigation","NO"
"SCR-031","chat","ChatView","lib/features/chat/presentation/views/chat_view.dart","PRIMARY","9","P1","MessageBubble;Composer;StateShell","realtime order dedup and send","YES"
"SCR-032","notifications","CustomerNotificationsView","lib/features/notifications/presentation/views/customer_notifications_view.dart","PRIMARY","9","P1","NotificationRow;StateShell","read/unread recipient/navigation","NO"
"SCR-033","purchases","PurchasesView","lib/features/purchases/presentation/views/purchases_view.dart","PRIMARY","8","P0","PurchaseCard;VerifiedBadge;StateShell","verified purchase semantics","YES"
"SCR-034","purchases","CustomerRatingsView","lib/features/purchases/presentation/views/customer_ratings_view.dart","PRIMARY","8","P0","RatingInput;ReviewEditor;StateShell","rating/review eligibility","YES"
"SCR-035","shop","MyShopView","lib/features/shop/presentation/views/my_shop_view.dart","MERCHANT_ADJACENT","DEFER","P2","MerchantApp alignment","merchant ownership/admin","NO"
"SCR-036","shop","MyShopFormView","lib/features/shop/presentation/views/my_shop_form_view.dart","MERCHANT_ADJACENT","DEFER","P2","Merchant form system","merchant update semantics","NO"
"SCR-037","cart","MerchantQrScannerView","lib/features/cart/presentation/views/merchant_qr_scanner_view.dart","MERCHANT_ADJACENT","DEFER","P1","Merchant QR system","server QR validation","NO"
"SCR-038","shop","LegacyOrdersView","lib/features/shop/presentation/views/orders_view.dart","LEGACY","EXCLUDE","P2","None","remain isolated from customer journey","NO"
"SCR-039","shop","StoreView","lib/features/shop/presentation/views/store_view.dart","UNREFERENCED_LEGACY","EXCLUDE","P2","None","do not activate via rollout","NO"
