"LEGACY_SLUG","LEGACY_NAME","LEGACY_PATH","CANONICAL_PLANNING_KEY","CANONICAL_PATH","ALIAS_TYPE","REDIRECT_BEHAVIOR","SEARCH_SYNONYM_DISTINCTION","SPLIT_AMBIGUITY","MANUAL_REVIEW_REQUIRED","SOURCE_ACTION","NOTES"
"peynir","Peynir","Market & Gıda > Kahvaltılık & Süt Ürünleri > Peynir","CANONICAL-000015","Gıda & İçecek > Süt Ürünleri & Yumurta > Peynir","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","YES","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"tereyagi-margarin","Tereyağı & Margarin","Market & Gıda > Kahvaltılık & Süt Ürünleri > Tereyağı & Margarin","CANONICAL-000017 || CANONICAL-000042","Gıda & İçecek > Süt Ürünleri & Yumurta > Tereyağı & Krema || Gıda & İçecek > Yağ & Sirke > Yemeklik Yağlar > Katı Yemeklik Yağlar","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"yumurta","Yumurta","Market & Gıda > Kahvaltılık & Süt Ürünleri > Yumurta","CANONICAL-000018","Gıda & İçecek > Süt Ürünleri & Yumurta > Yumurta","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","YES","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"zeytin","Zeytin","Market & Gıda > Kahvaltılık & Süt Ürünleri > Zeytin","CANONICAL-000048","Gıda & İçecek > Kahvaltılık > Zeytin","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"bal-recel-surulebilir-urunler","Bal, Reçel & Sürülebilir Ürünler","Market & Gıda > Kahvaltılık & Süt Ürünleri > Bal, Reçel & Sürülebilir Ürünler","CANONICAL-000045 || CANONICAL-000046 || CANONICAL-000047","Gıda & İçecek > Kahvaltılık > Bal & Pekmez || Gıda & İçecek > Kahvaltılık > Reçel & Marmelat || Gıda & İçecek > Kahvaltılık > Sürülebilir Ezme & Kremalar","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"icecek-atistirmalik","İçecek & Atıştırmalık","Market & Gıda > İçecek & Atıştırmalık","CANONICAL-000050 || CANONICAL-000058","Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş || Gıda & İçecek > Alkolsüz İçecekler","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"su-maden-suyu","Su & Maden Suyu","Market & Gıda > İçecek & Atıştırmalık > Su & Maden Suyu","CANONICAL-000059","Gıda & İçecek > Alkolsüz İçecekler > Su & Maden Suyu","LEGACY_PATH_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","MOVE","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"cay-bitki-cayi","Çay & Bitki Çayı","Market & Gıda > İçecek & Atıştırmalık > Çay & Bitki Çayı","CANONICAL-000062 || CANONICAL-000064","Gıda & İçecek > Alkolsüz İçecekler > Çay || Gıda & İçecek > Alkolsüz İçecekler > Bitki & Meyve Çayları","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"kahve-kakao","Kahve & Kakao","Market & Gıda > İçecek & Atıştırmalık > Kahve & Kakao","CANONICAL-000063 || CANONICAL-000036","Gıda & İçecek > Alkolsüz İçecekler > Kahve || Gıda & İçecek > Un, Şeker & Pişirme Malzemeleri > Kakao & Pişirme Çikolatası","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"gazli-icecek-meyve-suyu","Gazlı İçecek & Meyve Suyu","Market & Gıda > İçecek & Atıştırmalık > Gazlı İçecek & Meyve Suyu","CANONICAL-000060 || CANONICAL-000061","Gıda & İçecek > Alkolsüz İçecekler > Gazlı İçecekler || Gıda & İçecek > Alkolsüz İçecekler > Meyve Suyu & Meyveli İçecekler","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"cikolata-sekerleme","Çikolata & Şekerleme","Market & Gıda > İçecek & Atıştırmalık > Çikolata & Şekerleme","CANONICAL-000051 || CANONICAL-000052","Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş > Çikolata || Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş > Şekerleme & Sakız","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"biskuvi-kraker-kek","Bisküvi, Kraker & Kek","Market & Gıda > İçecek & Atıştırmalık > Bisküvi, Kraker & Kek","CANONICAL-000053","Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş > Bisküvi, Kraker & Kek","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"cips-patlamis-misir","Cips & Patlamış Mısır","Market & Gıda > İçecek & Atıştırmalık > Cips & Patlamış Mısır","CANONICAL-000054","Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş > Cips & Tuzlu Atıştırmalık","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME","Wave 32 candidate semantic match; score=0,9000; target remains candidate, not owner-final."
"kuruyemis-kuru-meyve","Kuruyemiş & Kuru Meyve","Market & Gıda > İçecek & Atıştırmalık > Kuruyemiş & Kuru Meyve","CANONICAL-000056 || CANONICAL-000055","Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş > Kuru Meyve || Gıda & İçecek > Atıştırmalık, Şekerleme & Kuruyemiş > Kuruyemiş","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"taze-donuk-hazir-gida","Taze, Donuk & Hazır Gıda","Market & Gıda > Taze, Donuk & Hazır Gıda","CANONICAL-000002 || CANONICAL-000007 || CANONICAL-000019 || CANONICAL-000077 || CANONICAL-000083","Gıda & İçecek > Taze Meyve & Sebze || Gıda & İçecek > Et, Tavuk, Balık & Şarküteri || Gıda & İçecek > Ekmek, Unlu Mamuller & Pastacılık || Gıda & İçecek > Hazır & Pratik Gıda || Gıda & İçecek > Donuk Gıda","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"taze-meyve","Taze Meyve","Market & Gıda > Taze, Donuk & Hazır Gıda > Taze Meyve","CANONICAL-000003","Gıda & İçecek > Taze Meyve & Sebze > Taze Meyve","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"taze-sebze","Taze Sebze","Market & Gıda > Taze, Donuk & Hazır Gıda > Taze Sebze","CANONICAL-000004","Gıda & İçecek > Taze Meyve & Sebze > Taze Sebze","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"ekmek-unlu-mamuller","Ekmek & Unlu Mamuller","Market & Gıda > Taze, Donuk & Hazır Gıda > Ekmek & Unlu Mamuller","CANONICAL-000020 || CANONICAL-000021 || CANONICAL-000022 || CANONICAL-000023","Gıda & İçecek > Ekmek, Unlu Mamuller & Pastacılık > Ekmekler || Gıda & İçecek > Ekmek, Unlu Mamuller & Pastacılık > Simit, Poğaça & Börek || Gıda & İçecek > Ekmek, Unlu Mamuller & Pastacılık > Kek, Kurabiye & Paketli Unlu Mamuller || Gıda & İçecek > Ekmek, Unlu Mamuller & Pastacılık > Pasta & Pastane Tatlıları","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"et-tavuk-urunleri","Et & Tavuk Ürünleri","Market & Gıda > Taze, Donuk & Hazır Gıda > Et & Tavuk Ürünleri","CANONICAL-000008 || CANONICAL-000009","Gıda & İçecek > Et, Tavuk, Balık & Şarküteri > Kırmızı Et || Gıda & İçecek > Et, Tavuk, Balık & Şarküteri > Tavuk & Kanatlı","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"sarkuteri","Şarküteri","Market & Gıda > Taze, Donuk & Hazır Gıda > Şarküteri","CANONICAL-000011","Gıda & İçecek > Et, Tavuk, Balık & Şarküteri > Şarküteri Ürünleri","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","YES","RENAME","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"balik-deniz-urunleri","Balık & Deniz Ürünleri","Market & Gıda > Taze, Donuk & Hazır Gıda > Balık & Deniz Ürünleri","CANONICAL-000010","Gıda & İçecek > Et, Tavuk, Balık & Şarküteri > Balık & Deniz Ürünleri","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","YES","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"dondurulmus-gida","Dondurulmuş Gıda","Market & Gıda > Taze, Donuk & Hazır Gıda > Dondurulmuş Gıda","CANONICAL-000084 || CANONICAL-000085 || CANONICAL-000086 || CANONICAL-000087 || CANONICAL-000088","Gıda & İçecek > Donuk Gıda > Donuk Meyve & Sebze || Gıda & İçecek > Donuk Gıda > Donuk Et, Tavuk & Balık || Gıda & İçecek > Donuk Gıda > Donuk Hamur & Fırın Ürünleri || Gıda & İçecek > Donuk Gıda > Donuk Hazır Yemek & Atıştırmalık || Gıda & İçecek > Donuk Gıda > Dondurma & Donuk Tatlı","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"hazir-yemek-meze","Hazır Yemek & Meze","Market & Gıda > Taze, Donuk & Hazır Gıda > Hazır Yemek & Meze","CANONICAL-000081 || CANONICAL-000080","Gıda & İçecek > Hazır & Pratik Gıda > Meze & Hazır Salata || Gıda & İçecek > Hazır & Pratik Gıda > Paketli Hazır Yemek","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"moda-giyim","Moda & Giyim","Moda & Giyim","CANONICAL-000089","Giyim & Moda","LEGACY_NAME_AND_SLUG_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME",""
"ust-giyim","Üst Giyim","Moda & Giyim > Üst Giyim","CANONICAL-000090","Giyim & Moda > Üst Giyim","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Previous provisional L2 bridge now resolves to the exact Wave 32 candidate L2; target is not owner-final."
"tisort","Tişört","Moda & Giyim > Üst Giyim > Tişört","CANONICAL-000091","Giyim & Moda > Üst Giyim > Tişört","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"gomlek-bluz","Gömlek & Bluz","Moda & Giyim > Üst Giyim > Gömlek & Bluz","CANONICAL-000092","Giyim & Moda > Üst Giyim > Gömlek & Bluz","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"kazak-hirka","Kazak & Hırka","Moda & Giyim > Üst Giyim > Kazak & Hırka","CANONICAL-000093 || CANONICAL-000094","Giyim & Moda > Üst Giyim > Kazak & Süveter || Giyim & Moda > Üst Giyim > Hırka","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"sweatshirt-hoodie","Sweatshirt & Hoodie","Moda & Giyim > Üst Giyim > Sweatshirt & Hoodie","CANONICAL-000095","Giyim & Moda > Üst Giyim > Sweatshirt & Hoodie","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"tunik","Tunik","Moda & Giyim > Üst Giyim > Tunik","CANONICAL-000096","Giyim & Moda > Üst Giyim > Tunik","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"alt-giyim","Alt Giyim","Moda & Giyim > Alt Giyim","CANONICAL-000097","Giyim & Moda > Alt Giyim","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Previous provisional L2 bridge now resolves to the exact Wave 32 candidate L2; target is not owner-final."
"pantolon","Pantolon","Moda & Giyim > Alt Giyim > Pantolon","CANONICAL-000098","Giyim & Moda > Alt Giyim > Pantolon","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"jean","Jean","Moda & Giyim > Alt Giyim > Jean","CANONICAL-000099","Giyim & Moda > Alt Giyim > Jean","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"etek","Etek","Moda & Giyim > Alt Giyim > Etek","CANONICAL-000100","Giyim & Moda > Alt Giyim > Etek","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"sort","Şort","Moda & Giyim > Alt Giyim > Şort","CANONICAL-000101","Giyim & Moda > Alt Giyim > Şort","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"tayt-esofman-alti","Tayt & Eşofman Altı","Moda & Giyim > Alt Giyim > Tayt & Eşofman Altı","CANONICAL-000102 || CANONICAL-000103","Giyim & Moda > Alt Giyim > Tayt || Giyim & Moda > Alt Giyim > Eşofman Altı","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined identity spans multiple explicit Wave 32 candidate successors; product-level split rule is required."
"dis-giyim-tek-parca","Dış Giyim & Tek Parça","Moda & Giyim > Dış Giyim & Tek Parça","CANONICAL-000104 || CANONICAL-000108 || CANONICAL-000112","Giyim & Moda > Elbise & Tulum || Giyim & Moda > Takım & Kombinler || Giyim & Moda > Dış Giyim","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy umbrella spans multiple exact Wave 32 candidate L2 successors; product-level split rule remains required."
"mont-kaban-parka","Mont, Kaban & Parka","Moda & Giyim > Dış Giyim & Tek Parça > Mont, Kaban & Parka","CANONICAL-000113 || CANONICAL-000114","Giyim & Moda > Dış Giyim > Kaban & Pardösü || Giyim & Moda > Dış Giyim > Mont & Parka","AMBIGUOUS_SPLIT_ALIAS","NO_BLIND_REDIRECT — PRODUCT_LEVEL_RULE_OR_MANUAL_REVIEW","NOT A SEARCH SYNONYM UNTIL DISAMBIGUATED","YES","YES","SPLIT","Legacy combined concept has multiple near-equal Wave 32 candidate successors; no arbitrary single successor selected."
"ceket-blazer","Ceket & Blazer","Moda & Giyim > Dış Giyim & Tek Parça > Ceket & Blazer","CANONICAL-000115","Giyim & Moda > Dış Giyim > Ceket & Blazer","SOURCE_KEY_EQUIVALENCE","DIRECT_BIND_AFTER_ID_ALLOCATION","IDENTITY_BINDING; NOT A SEARCH SYNONYM","NO","NO","KEEP","Wave 32 candidate semantic match; score=1,0000; target remains candidate, not owner-final."
"yagmurluk-ruzgarlik","Yağmurluk & Rüzgarlık","Moda & Giyim > Dış Giyim & Tek Parça > Yağmurluk & Rüzgarlık","CANONICAL-000116","Giyim & Moda > Dış Giyim > Trençkot, Yağmurluk & Rüzgarlık","LEGACY_NAME_SLUG_PATH_ALIAS","PERMANENT_REDIRECT_AFTER_ID_ALLOCATION","IDENTITY REDIRECT; USE AS SEARCH SYNONYM ONLY IF SEMANTICALLY EQUIVALENT","NO","NO","RENAME_AND_MOVE","Wave 32 candidate semantic match; score=0,8600; target remains candidate, not owner-final."
