"L1","L2","L3","L4","LEAF_YN","NODE_STATE","POLICY_CLASS","PRIMARY_DOMAIN","FACET_NOTES","SYNONYM_NOTES","OWNER_DECISION_REQUIRED","PROFESSIONAL_REVIEW_REQUIRED","SOURCE_NOTES"
"Ayakkabı","Klasik Ayakkabılar","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Klasik Ayakkabılar","Oxford & Derby Ayakkabılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Klasik Ayakkabılar","Klasik Loafer","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Klasik Ayakkabılar","Topuklu Ayakkabılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Klasik Ayakkabılar","Davet & Abiye Ayakkabılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Bot & Çizmeler","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Bot & Çizmeler","Günlük Botlar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Bot & Çizmeler","Çizmeler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Bot & Çizmeler","Yağmur Botları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Bot & Çizmeler","Kar & Kış Botları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Sandalet & Terlikler","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Sandalet & Terlikler","Sandaletler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Sandalet & Terlikler","Ev Terlikleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Sandalet & Terlikler","Plaj & Havuz Terlikleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Sandalet & Terlikler","Sabo & Mule","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Sandalet & Terlikler","Deniz Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","Bebek & İlk Adım Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","Çocuk Günlük Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","Çocuk Spor Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","Okul Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","Çocuk Bot & Çizmeleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Çocuk & Bebek Ayakkabıları","Çocuk Sandalet & Terlikleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","İş & Profesyonel Ayakkabılar","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","İş & Profesyonel Ayakkabılar","Kaymaz Profesyonel Ayakkabılar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","İş & Profesyonel Ayakkabılar","Profesyonel Sabo & Terlikler","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","İş & Profesyonel Ayakkabılar","Üniforma & Servis Ayakkabıları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","Konfor Tabanlıkları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","Bağcıklar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","Cila, Boya & Bakım Ürünleri","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","REGULATED","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","Fırça & Temizleme Araçları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","Ayakkabı Kalıbı & Çekeceği","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Ayakkabı","Ayakkabı Bakım & Aksesuarları","Galoş & Ayakkabı Koruyucuları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Ayakkabı","size/fit; material; closure; heel/sole; sport; terrain; season; evidenced safety standard remain facets","See Ayakkabı candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","El, Omuz & Bel Çantaları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","El, Omuz & Bel Çantaları","El Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","El, Omuz & Bel Çantaları","Omuz Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","El, Omuz & Bel Çantaları","Çapraz Çantalar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","El, Omuz & Bel Çantaları","Bel Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","El, Omuz & Bel Çantaları","Clutch & Portföy Çantalar","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Sırt Çantaları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Sırt Çantaları","Günlük Sırt Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Sırt Çantaları","Okul Sırt Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Sırt Çantaları","Şehir & Seyahat Sırt Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Evrak & İş Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Laptop Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Tablet & Cihaz Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Kamera Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Enstrüman Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Bebek Bakım Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Evrak, Laptop & Ekipman Çantaları","Genel Ekipman Çantaları","","YES","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","YES","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"Çanta & Aksesuar","Valiz & Seyahat Çantaları","","","NO","CANDIDATE_FOR_PRODUCT_OWNER_FINALIZATION","NORMAL","Çanta & Aksesuar","material; dimensions; volume; compatibility; protection; compartments; style remain facets","See Çanta & Aksesuar candidate controlled synonym registry","YES","NO","Batch 02 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
