"PLANNING_KEY","L1_NAME","L2_NAME","L3_NAME","L4_NAME","LEVEL","LEAF_YN","PARENT_PLANNING_KEY","CANONICAL_STATE","POLICY_CLASS","PROFESSIONAL_REVIEW_REQUIRED","ASSIGNABLE_YN","ACTIVE_CANDIDATE_YN","SOURCE","LEGACY_PREDECESSOR_COUNT","NOTES"
"CANONICAL-000024","Gıda & İçecek","Bakliyat, Tahıl & Makarna","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000025","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","","L3","NO","CANONICAL-000024","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000026","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","Mercimek","L4","YES","CANONICAL-000025","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000027","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","Nohut","L4","YES","CANONICAL-000025","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000028","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Bakliyat","Kuru Fasulye & Diğer Bakliyat","L4","YES","CANONICAL-000025","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000029","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Pirinç & Bulgur","","L3","YES","CANONICAL-000024","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000030","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Tahıl, Yulaf & Hububat","","L3","YES","CANONICAL-000024","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000031","Gıda & İçecek","Bakliyat, Tahıl & Makarna","Makarna & Erişte","","L3","YES","CANONICAL-000024","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000032","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000033","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Unlar","","L3","YES","CANONICAL-000032","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000034","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Şeker & Tatlandırıcılar","","L3","YES","CANONICAL-000032","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000035","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Maya & Kabartma Ürünleri","","L3","YES","CANONICAL-000032","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000036","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Kakao & Pişirme Çikolatası","","L3","YES","CANONICAL-000032","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000037","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","Pasta Süsleme & Dolgu Malzemeleri","","L3","YES","CANONICAL-000032","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000038","Gıda & İçecek","Yağ & Sirke","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000039","Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","","L3","NO","CANONICAL-000038","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000040","Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","Zeytinyağı","L4","YES","CANONICAL-000039","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000041","Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","Bitkisel Sıvı Yağlar","L4","YES","CANONICAL-000039","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000042","Gıda & İçecek","Yağ & Sirke","Yemeklik Yağlar","Katı Yemeklik Yağlar","L4","YES","CANONICAL-000039","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000043","Gıda & İçecek","Yağ & Sirke","Sirke","","L3","YES","CANONICAL-000038","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000044","Gıda & İçecek","Kahvaltılık","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000045","Gıda & İçecek","Kahvaltılık","Bal & Pekmez","","L3","YES","CANONICAL-000044","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000046","Gıda & İçecek","Kahvaltılık","Reçel & Marmelat","","L3","YES","CANONICAL-000044","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000047","Gıda & İçecek","Kahvaltılık","Sürülebilir Ezme & Kremalar","","L3","YES","CANONICAL-000044","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000048","Gıda & İçecek","Kahvaltılık","Zeytin","","L3","YES","CANONICAL-000044","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000049","Gıda & İçecek","Kahvaltılık","Kahvaltılık Gevrek & Granola","","L3","YES","CANONICAL-000044","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000050","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000051","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Çikolata","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000052","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Şekerleme & Sakız","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000053","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Bisküvi, Kraker & Kek","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000054","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Cips & Tuzlu Atıştırmalık","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000055","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Kuruyemiş","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000056","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Kuru Meyve","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000057","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","Atıştırmalık Barlar","","L3","YES","CANONICAL-000050","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","YES","YES","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","0","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000058","Gıda & İçecek","Alkolsüz İçecekler","","","L2","NO","CANONICAL-000001","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","LEGAL_REVIEW_REQUIRED","YES","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A Canonical existence does not authorize runtime assignment or pilot activation; professional/policy gate remains open."
"CANONICAL-000059","Gıda & İçecek","Alkolsüz İçecekler","Su & Maden Suyu","","L3","YES","CANONICAL-000058","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000060","Gıda & İçecek","Alkolsüz İçecekler","Gazlı İçecekler","","L3","YES","CANONICAL-000058","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
"CANONICAL-000061","Gıda & İçecek","Alkolsüz İçecekler","Meyve Suyu & Meyveli İçecekler","","L3","YES","CANONICAL-000058","CONFIRMED — PRODUCT OWNER FINAL — CANONICAL V1","NORMAL","NO","NO","NO","docs/TAXONOMY_W33_RESOLVED_UNIFIED_CANDIDATE_TREE.csv [BATCH_01]","1","Exact source row; Batch 01 source proposal; finalization candidate; OM-R06=B; OM-R07=B; OM-R10=A"
