"TERM_ID","TERM","TERM_TYPE","EXPECTED_L1","EXPECTED_L2","CANONICAL_NODE_STATE","AMBIGUOUS","ALTERNATIVE_DOMAIN","NOTES"
"TERM-000019","hamur işi","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000020","bakery","ENGLISH_LOANWORD","Gıda & İçecek","Ekmek, Unlu Mamuller & Pastacılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000021","Bakliyat, Tahıl & Makarna","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Bakliyat, Tahıl & Makarna","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000022","kuru gıda","SEARCH_SYNONYM","Gıda & İçecek","Bakliyat, Tahıl & Makarna","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000023","bakliyat","SEARCH_SYNONYM","Gıda & İçecek","Bakliyat, Tahıl & Makarna","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000024","hububat","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Bakliyat, Tahıl & Makarna","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000025","pasta","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Bakliyat, Tahıl & Makarna","PROPOSED_FOR_OWNER_REVIEW","YES","Gıda & İçecek — pasta/cake versus makarna","Controlled discovery term; does not change taxonomy ownership."
"TERM-000026","Un, Şeker & Pişirme Malzemeleri","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000027","pastacılık malzemesi","SEARCH_SYNONYM","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000028","baking ingredients","SEARCH_SYNONYM","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000029","Un","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000030","Şeker","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Un, Şeker & Pişirme Malzemeleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000031","Yağ & Sirke","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Yağ & Sirke","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000032","yemeklik yağ","SEARCH_SYNONYM","Gıda & İçecek","Yağ & Sirke","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000033","zeytinyağı","SEARCH_SYNONYM","Gıda & İçecek","Yağ & Sirke","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000034","vinegar","ENGLISH_LOANWORD","Gıda & İçecek","Yağ & Sirke","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000035","Yağ","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Yağ & Sirke","PROPOSED_FOR_OWNER_REVIEW","YES","Gıda / otomotiv / kozmetik","Controlled discovery term; does not change taxonomy ownership."
"TERM-000036","Kahvaltılık","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Kahvaltılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000037","kahvaltı","SEARCH_SYNONYM","Gıda & İçecek","Kahvaltılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000038","bal reçel","SEARCH_SYNONYM","Gıda & İçecek","Kahvaltılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000039","gevrek","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Kahvaltılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000040","cereal","ENGLISH_LOANWORD","Gıda & İçecek","Kahvaltılık","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000041","Atıştırmalık, Şekerleme & Kuruyemiş","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000042","snack","ENGLISH_LOANWORD","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000043","çerez","SEARCH_SYNONYM","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000044","çikolata","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000045","tatlı atıştırmalık","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Atıştırmalık, Şekerleme & Kuruyemiş","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000046","Alkolsüz İçecekler","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Alkolsüz İçecekler","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000047","meşrubat","SEARCH_SYNONYM","Gıda & İçecek","Alkolsüz İçecekler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000048","soft drink","SEARCH_SYNONYM","Gıda & İçecek","Alkolsüz İçecekler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000049","çay kahve","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Alkolsüz İçecekler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000050","Alkolsüz İçecek","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Alkolsüz İçecekler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000051","Sos, Baharat & Çeşni","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Sos, Baharat & Çeşni","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000052","seasoning","ENGLISH_LOANWORD","Gıda & İçecek","Sos, Baharat & Çeşni","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000053","spice","ENGLISH_LOANWORD","Gıda & İçecek","Sos, Baharat & Çeşni","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000054","salça","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Sos, Baharat & Çeşni","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000055","yemek sosu","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Sos, Baharat & Çeşni","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000056","Konserve & Kavanoz Ürünleri","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Konserve & Kavanoz Ürünleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000057","canned food","ENGLISH_LOANWORD","Gıda & İçecek","Konserve & Kavanoz Ürünleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000058","turşu","SEARCH_SYNONYM","Gıda & İçecek","Konserve & Kavanoz Ürünleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000059","kavanoz ürün","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Konserve & Kavanoz Ürünleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000060","Konserve","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Konserve & Kavanoz Ürünleri","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000061","Hazır & Pratik Gıda","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Hazır & Pratik Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000062","instant","ENGLISH_LOANWORD","Gıda & İçecek","Hazır & Pratik Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000063","hazır yemek","SEARCH_SYNONYM","Gıda & İçecek","Hazır & Pratik Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000064","hızlı yemek","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Hazır & Pratik Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000065","Hazır","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Hazır & Pratik Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000066","Donuk Gıda","CANONICAL_CATEGORY_NAME","Gıda & İçecek","Donuk Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000067","dondurulmuş","SEARCH_SYNONYM","Gıda & İçecek","Donuk Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000068","frozen","ENGLISH_LOANWORD","Gıda & İçecek","Donuk Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000069","buzluk ürünü","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Donuk Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000070","Gıda & İçecek Donuk Gıda","COLLOQUIAL_TURKISH_TERM","Gıda & İçecek","Donuk Gıda","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000071","Üst Giyim","CANONICAL_CATEGORY_NAME","Giyim & Moda","Üst Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000072","üst","SEARCH_SYNONYM","Giyim & Moda","Üst Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000073","topwear","ENGLISH_LOANWORD","Giyim & Moda","Üst Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000074","tişört","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Üst Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000075","t-shirt","ENGLISH_LOANWORD","Giyim & Moda","Üst Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000076","Alt Giyim","CANONICAL_CATEGORY_NAME","Giyim & Moda","Alt Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000077","bottomwear","ENGLISH_LOANWORD","Giyim & Moda","Alt Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000078","pantolon","SEARCH_SYNONYM","Giyim & Moda","Alt Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000079","jean","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Alt Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000080","kot","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Alt Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000081","Elbise & Tulum","CANONICAL_CATEGORY_NAME","Giyim & Moda","Elbise & Tulum","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000082","dress","ENGLISH_LOANWORD","Giyim & Moda","Elbise & Tulum","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000083","abiye","SEARCH_SYNONYM","Giyim & Moda","Elbise & Tulum","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000084","tulum","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Elbise & Tulum","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000085","salopet","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Elbise & Tulum","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000086","Takım & Kombinler","CANONICAL_CATEGORY_NAME","Giyim & Moda","Takım & Kombinler","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000087","takım elbise","SEARCH_SYNONYM","Giyim & Moda","Takım & Kombinler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000088","suit","ENGLISH_LOANWORD","Giyim & Moda","Takım & Kombinler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000089","alt üst takım","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Takım & Kombinler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000090","eşofman takımı","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Takım & Kombinler","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000091","Dış Giyim","CANONICAL_CATEGORY_NAME","Giyim & Moda","Dış Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000092","outerwear","ENGLISH_LOANWORD","Giyim & Moda","Dış Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000093","mont","SEARCH_SYNONYM","Giyim & Moda","Dış Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000094","kaban","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Dış Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000095","ceket","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Dış Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000096","İç Giyim","CANONICAL_CATEGORY_NAME","Giyim & Moda","İç Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000097","underwear","ENGLISH_LOANWORD","Giyim & Moda","İç Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000098","lingerie","ENGLISH_LOANWORD","Giyim & Moda","İç Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000099","sütyen","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","İç Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000100","boxer","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","İç Giyim","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000101","Ev & Uyku Giyimi","CANONICAL_CATEGORY_NAME","Giyim & Moda","Ev & Uyku Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000102","pijama","SEARCH_SYNONYM","Giyim & Moda","Ev & Uyku Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000103","sleepwear","ENGLISH_LOANWORD","Giyim & Moda","Ev & Uyku Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000104","loungewear","ENGLISH_LOANWORD","Giyim & Moda","Ev & Uyku Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000105","gecelik","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Ev & Uyku Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000106","Spor & Performans Giyimi","CANONICAL_CATEGORY_NAME","Giyim & Moda","Spor & Performans Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000107","activewear","ENGLISH_LOANWORD","Giyim & Moda","Spor & Performans Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000108","spor kıyafeti","SEARCH_SYNONYM","Giyim & Moda","Spor & Performans Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000109","forma","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Spor & Performans Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000110","fitness giyim","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Spor & Performans Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000111","Mayo & Plaj Giyimi","CANONICAL_CATEGORY_NAME","Giyim & Moda","Mayo & Plaj Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000112","swimwear","ENGLISH_LOANWORD","Giyim & Moda","Mayo & Plaj Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000113","mayo","SEARCH_SYNONYM","Giyim & Moda","Mayo & Plaj Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000114","bikini","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Mayo & Plaj Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000115","plaj kıyafeti","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","Mayo & Plaj Giyimi","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000116","İş Giyimi & Üniforma","CANONICAL_CATEGORY_NAME","Giyim & Moda","İş Giyimi & Üniforma","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000117","workwear","ENGLISH_LOANWORD","Giyim & Moda","İş Giyimi & Üniforma","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000118","iş kıyafeti","SEARCH_SYNONYM","Giyim & Moda","İş Giyimi & Üniforma","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000119","üniforma","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","İş Giyimi & Üniforma","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000120","önlük","COLLOQUIAL_TURKISH_TERM","Giyim & Moda","İş Giyimi & Üniforma","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000121","Günlük Ayakkabılar","CANONICAL_CATEGORY_NAME","Ayakkabı","Günlük Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000122","casual","ENGLISH_LOANWORD","Ayakkabı","Günlük Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000123","loafer","ENGLISH_LOANWORD","Ayakkabı","Günlük Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000124","mokasen","COLLOQUIAL_TURKISH_TERM","Ayakkabı","Günlük Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000125","babet","COLLOQUIAL_TURKISH_TERM","Ayakkabı","Günlük Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000126","Spor Ayakkabıları","CANONICAL_CATEGORY_NAME","Ayakkabı","Spor Ayakkabıları","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000127","sneaker","ENGLISH_LOANWORD","Ayakkabı","Spor Ayakkabıları","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000128","koşu ayakkabısı","SEARCH_SYNONYM","Ayakkabı","Spor Ayakkabıları","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000129","yürüyüş ayakkabısı","COLLOQUIAL_TURKISH_TERM","Ayakkabı","Spor Ayakkabıları","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000130","trainer","ENGLISH_LOANWORD","Ayakkabı","Spor Ayakkabıları","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000131","Klasik Ayakkabılar","CANONICAL_CATEGORY_NAME","Ayakkabı","Klasik Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Canonical display name; node state is preserved."
"TERM-000132","kundura","SEARCH_SYNONYM","Ayakkabı","Klasik Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000133","oxford ayakkabı","SEARCH_SYNONYM","Ayakkabı","Klasik Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000134","klasik deri ayakkabı","COLLOQUIAL_TURKISH_TERM","Ayakkabı","Klasik Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
"TERM-000135","resmi ayakkabı","COLLOQUIAL_TURKISH_TERM","Ayakkabı","Klasik Ayakkabılar","PROPOSED_FOR_OWNER_REVIEW","NO","","Controlled discovery term; does not change taxonomy ownership."
