sourceKey,sourceWave,sourceBranch,sourceHead,sourceDocument,sourceDecisionId,question,priority,classification,masterRootId,masterRootTitle,ownerTiming,professionalRoute,notes
W23-ECO-D011,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D011,Merchant candidate ne zaman public canonical olur?,P0,CHILD_OF_EXISTING_ROOT,OM-R08,"Catalog intake, ölçü ve medya yayın sınırı",OWNER_CAN_DECIDE_PROVISIONALLY,REGULATORY,Semantic mapping; no option selected
W23-ECO-D012,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D012,Variable measure pilotta aktif mi?,P0,CHILD_OF_EXISTING_ROOT,OM-R08,"Catalog intake, ölçü ve medya yayın sınırı",OWNER_CAN_DECIDE_PROVISIONALLY,REGULATORY,Semantic mapping; no option selected
W23-ECO-D013,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D013,Merge sonrası aynı customer review collision nasıl sunulur?,P0,DEPENDENT_DECISION,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D014,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D014,Split predecessor review hakkı child’a taşınır mı?,P0,DEPENDENT_DECISION,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D015,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D015,Listing media canonical media olabilir mi?,P1,CHILD_OF_EXISTING_ROOT,OM-R08,"Catalog intake, ölçü ve medya yayın sınırı",OWNER_CAN_DECIDE_PROVISIONALLY,REGULATORY,Semantic mapping; no option selected
W23-ECO-D016,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D016,Organization/shop/branch topology pilotta nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R09,"Merchant organization, authority ve pilot cohort",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D017,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D017,Owner/verifier/catalog staff V1’de hangi scope ile var?,P0,CHILD_OF_EXISTING_ROOT,OM-R09,"Merchant organization, authority ve pilot cohort",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D018,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D018,Transfer/multi-branch automation pilotta var mı?,P1,DEPENDENT_DECISION,OM-R09,"Merchant organization, authority ve pilot cohort",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D019,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D019,67-leaf proposal bütünü owner-final olacak mı?,P0,CHILD_OF_EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Semantic mapping; no option selected
W23-ECO-D020,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D020,Secondary sector sayısı/evidence nedir?,P1,CHILD_OF_EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Semantic mapping; no option selected
W23-ECO-D021,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D021,Sector organization mı branch mi atanır?,P1,CHILD_OF_EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Semantic mapping; no option selected
W23-ECO-D022,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D022,Hangi merchant/product policy sınıfları pilotta açılır?,P0,CHILD_OF_EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Semantic mapping; no option selected
W23-ECO-D023,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D023,Service/mixed merchants ve booking V1 kapsamı nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Semantic mapping; no option selected
W23-ECO-D024,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D024,Availability freshness ve unknown customer dili nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R12,"Listing truth, freshness ve iletişim",OWNER_CAN_DECIDE_NOW,LAWYER,Semantic mapping; no option selected
W23-ECO-D025,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D025,Sibling branch confirmation/reissue nasıl çalışır?,P0,CHILD_OF_EXISTING_ROOT,OM-R13,"QR rollout, exact-shop kanıtı ve merchant history",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D026,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D026,Variable-measure requested/actual snapshot nasıl doğrulanır?,P0,DEPENDENT_DECISION,OM-R13,"QR rollout, exact-shop kanıtı ve merchant history",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D027,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D027,Merchant review reply/moderation pilotta var mı?,P1,DEPENDENT_DECISION,OM-R26,Shop evaluation katkısı ve merchant feed projection,OWNER_CAN_DECIDE_PROVISIONALLY,KVKK,Semantic mapping; no option selected
W23-ECO-D028,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D028,Separate Flutter app mi controlled pilot tool mu?,P1,CHILD_OF_EXISTING_ROOT,OM-R11,Minimum Merchant App ve assisted operating model,OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D029,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D029,Push/email/in-app notification scope nedir?,P2,DEPENDENT_DECISION,OM-R12,"Listing truth, freshness ve iletişim",OWNER_CAN_DECIDE_NOW,LAWYER,Semantic mapping; no option selected
W23-ECO-D030,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D030,Esenler pilotunda Ads var mı?,P0,CHILD_OF_EXISTING_ROOT,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D031,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D031,Ads olursa object/surface nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D032,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D032,Pricing/billing/auction modeli nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D033,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D033,Location/behavior/policy eligibility nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D034,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D034,"Attribution, under-delivery ve dispute nasıl ele alınır?",P1,DEPENDENT_DECISION,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D035,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D035,Reward Engine pilotta var mı?,P0,CHILD_OF_EXISTING_ROOT,OM-R30,"Reward zamanı, ekonomiği ve değer transferi",DEFERRED_POST_PILOT,LAWYER;ACCOUNTANT,Semantic mapping; no option selected
W23-ECO-D036,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D036,Earning unit/scope/funding nedir?,P0,DEPENDENT_DECISION,OM-R30,"Reward zamanı, ekonomiği ve değer transferi",DEFERRED_POST_PILOT,LAWYER;ACCOUNTANT,Semantic mapping; no option selected
W23-ECO-D037,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D037,Redemption/expiry/cross-merchant transfer nedir?,P1,DEPENDENT_DECISION,OM-R30,"Reward zamanı, ekonomiği ve değer transferi",DEFERRED_POST_PILOT,LAWYER;ACCOUNTANT,Semantic mapping; no option selected
W23-ECO-D038,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D038,Purchase amount/quantity authoritative mi?,P0,DEPENDENT_DECISION,OM-R30,"Reward zamanı, ekonomiği ve değer transferi",DEFERRED_POST_PILOT,LAWYER;ACCOUNTANT,Semantic mapping; no option selected
W23-ECO-D039,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D039,Badges/levels/challenges/streaks hangileri gerekir?,P1,CHILD_OF_EXISTING_ROOT,OM-R28,"Reputation algoritması, composite ve Mahallenin Yıldızı",DEFERRED_POST_PILOT,LAWYER;KVKK;TECHNICAL_ARCHITECT,Semantic mapping; no option selected
W23-ECO-D040,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D040,Shop mı organization mı; public badge ne zaman?,P0,CHILD_OF_EXISTING_ROOT,OM-R27,Public reputation kapsamı ve badge yayın zamanı,DEFERRED_POST_PILOT,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D041,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D041,Pilot Ops role/case tooling minimumu nedir?,P0,CHILD_OF_EXISTING_ROOT,OM-R14,"Lean Operations, support, staffing ve yetki",OWNER_CAN_DECIDE_NOW,LAWYER,Semantic mapping; no option selected
W23-ECO-D042,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D042,Hangi P0 actions second review/appeal ister?,P1,DEPENDENT_DECISION,OM-R14,"Lean Operations, support, staffing ve yetki",OWNER_CAN_DECIDE_NOW,LAWYER,Semantic mapping; no option selected
W23-ECO-D043,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D043,Case/audit/support retention nedir?,P1,DEPENDENT_DECISION,OM-R18,"Terms, privacy, hesap yaşam döngüsü ve disclosure",OWNER_SHOULD_WAIT_FOR_LAWYER,LAWYER;KVKK,Semantic mapping; no option selected
W23-ECO-D044,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D044,Pilot KPI/event registry neyi içerir?,P0,CHILD_OF_EXISTING_ROOT,OM-R15,"Pilot KPI, analytics, monitoring ve privacy sınırı",OWNER_CAN_DECIDE_PROVISIONALLY,KVKK,Semantic mapping; no option selected
W23-ECO-D045,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D045,Consent/location/identity/retention sınırı nedir?,P0,DEPENDENT_DECISION,OM-R15,"Pilot KPI, analytics, monitoring ve privacy sınırı",OWNER_CAN_DECIDE_PROVISIONALLY,KVKK,Semantic mapping; no option selected
W23-ECO-D046,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D046,Hangi physical/manual/release gates zorunlu?,P0,DEPENDENT_DECISION,OM-R04,"Pilot platformu, exact artifact ve kabul kanıtı",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D047,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D047,CI matrix/skip/quarantine breadth nedir?,P2,IMPLEMENTATION_DETAIL_NOT_OWNER_DECISION,OM-R04,"Pilot platformu, exact artifact ve kabul kanıtı",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W23-ECO-D048,Wave 23,origin/agent1/w23-ecosystem-master-reconciliation,b3b5c928f36ff91e97e06a6d3ffad3858074489e,docs/ECOSYSTEM_OWNER_DECISION_INVENTORY.md,ECO-D048,Demo retire ve post-pilot sequencing nasıl olur?,P1,CHILD_OF_EXISTING_ROOT,OM-R06,"Taxonomy, facet, legacy ve demo aktivasyonu",OWNER_CAN_DECIDE_NOW,NONE,Semantic mapping; no option selected
W25-R01,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R01,İlk ticari pilot hangi platformlarda ve hangi fiziksel/release kanıtlarıyla kabul edilecek?,P0,EXISTING_ROOT,OM-R04,"Pilot platformu, exact artifact ve kabul kanıtı",OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R02,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R02,Nearby herkese açık mı olacak ve cihazda ne kadar yerel geçmiş tutulacak?,P1,EXISTING_ROOT,OM-R05,"Customer erişimi, konum, yerel geçmiş ve AuthGuard",OWNER_CAN_DECIDE_PROVISIONALLY,KVKK,Wave 25 ecosystem root baseline
W25-R03,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R03,"Final taxonomy, facet, legacy mapping ve demo veri runtime’a nasıl taşınacak?",P1,EXISTING_ROOT,OM-R06,"Taxonomy, facet, legacy ve demo aktivasyonu",OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R04,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R04,"V1’de Product, Variant, Listing ve barcode kimlikleri nasıl ayrılacak?",P0,EXISTING_ROOT,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R05,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R05,"Merchant’ın ürettiği candidate, variable-measure ve medya ne zaman customer-visible olabilir?",P0,EXISTING_ROOT,OM-R08,"Catalog intake, ölçü ve medya yayın sınırı",OWNER_CAN_DECIDE_PROVISIONALLY,REGULATORY,Wave 25 ecosystem root baseline
W25-R06,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R06,Product merge/split olduğunda purchase ve review geçmişi nasıl korunacak?,P0,AUTO_RESOLVABLE_AFTER_PARENT,OM-R07,"Product, Variant, Listing ve identifier kimliği",OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R07,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R07,"Pilotta organization, shop, branch ve staff kapsamı ne kadar olacak?",P0,EXISTING_ROOT,OM-R09,"Merchant organization, authority ve pilot cohort",OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R08,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R08,Proposed 67 sector leaf nasıl owner-final olacak ve organization/branch’e nasıl atanacak?,P1,EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Wave 25 ecosystem root baseline
W25-R09,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R09,Pilotta hangi ürün/merchant policy grupları ve service yetenekleri açılacak?,P0,CHILD_OF_EXISTING_ROOT,OM-R10,"Merchant sector, verification ve policy allowlist",OWNER_CAN_DECIDE_PROVISIONALLY,LAWYER;REGULATORY,Wave 25 ecosystem root baseline
W25-R10,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R10,"Availability freshness, review etkileşimi ve notification kapsamı ne olacak?",P1,EXISTING_ROOT,OM-R12,"Listing truth, freshness ve iletişim",OWNER_CAN_DECIDE_NOW,LAWYER,Wave 25 ecosystem root baseline
W25-R11,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R11,Sibling branch QR doğrulayabilir mi ve actual quantity nasıl kanıtlanacak?,P0,EXISTING_ROOT,OM-R13,"QR rollout, exact-shop kanıtı ve merchant history",OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R12,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R12,"Pilot öncesi full ayrı Merchant App mi, kontrollü operating path mi?",P1,EXISTING_ROOT,OM-R11,Minimum Merchant App ve assisted operating model,OWNER_CAN_DECIDE_NOW,NONE,Wave 25 ecosystem root baseline
W25-R13,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R13,Esenler pilotunda Ads olacak mı; olacaksa hangi object ve surface kullanılacak?,P1,EXISTING_ROOT,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Wave 25 ecosystem root baseline
W25-R14,Wave 25,origin/agent1/w25-global-owner-fast-review-pack,b5a62284c8ce6ddc03d66b3e2d78b8d3efd0ed55,docs/ECOSYSTEM_MOBILE_OWNER_REVIEW.md,R14,"Ads açılırsa ücretlendirme, targeting ve attribution modeli ne olacak?",P0,CHILD_OF_EXISTING_ROOT,OM-R29,"Ads zamanı, nesnesi, ekonomiği ve privacy",DEFERRED_POST_PILOT,LAWYER;KVKK,Wave 25 ecosystem root baseline
